OG0000043	OALVG00000007688.1
OG0046176	OALVG00000001306.1
OG0046184	OALVG00000002744.1
OG0046191	OALVG00000001946.1
OG0046202	OALVG00000006197.1
OG0046208	OALVG00000000062.1
OG0046209	OALVG00000007958.1
OG0046215	OALVG00000008869.1
OG0046219	OALVG00000019198.1
OG0046222	OALVG00000002919.1
OG0046227	OALVG00000014952.1
OG0046229	OALVG00000015026.1
OG0046241	OALVG00000023482.1
OG0046247	OALVG00000009061.1
OG0046248	OALVG00000029033.1
OG0046253	OALVG00000032475.1
OG0046262	OALVG00000028598.1
OG0046270	OALVG00000001365.1
OG0046271	OALVG00000024901.1
OG0046286	OALVG00000000191.1
OG0046288	OALVG00000005197.1
OG0046303	OALVG00000021083.1
OG0046316	OALVG00000007213.1
OG0046319	OALVG00000034646.1
OG0046320	OALVG00000003115.1
OG0046326	OALVG00000021531.1
OG0046327	OALVG00000018908.1
OG0046331	OALVG00000025210.1
OG0046335	OALVG00000019747.1
OG0046343	OALVG00000006755.1
OG0046358	OALVG00000011245.1
OG0046361	OALVG00000013013.1
OG0046383	OALVG00000010364.1
OG0046384	OALVG00000015926.1
OG0046392	OALVG00000023685.1
OG0046404	OALVG00000032392.1
OG0046409	OALVG00000003802.1
OG0046412	OALVG00000010486.1
OG0046414	OALVG00000015256.1
OG0046432	OALVG00000034661.1
OG0046437	OALVG00000034480.1
OG0046441	OALVG00000026272.1
OG0046452	OALVG00000031713.1
OG0046453	OALVG00000005050.1
OG0046456	OALVG00000018946.1
OG0046460	OALVG00000031593.1
OG0046461	OALVG00000010148.1
OG0046470	OALVG00000021239.1
OG0046473	OALVG00000006122.1
OG0046475	OALVG00000023831.1
OG0046486	OALVG00000033568.1
OG0046488	OALVG00000033714.1
OG0046490	OALVG00000032601.1
OG0046493	OALVG00000028417.1
OG0046503	OALVG00000028857.1
OG0046520	OALVG00000016485.1
OG0046522	OALVG00000019919.1
OG0046531	OALVG00000019874.1
OG0046535	OALVG00000000645.1
OG0046542	OALVG00000012254.1
OG0046545	OALVG00000004415.1
OG0046551	OALVG00000034148.1
OG0046554	OALVG00000031626.1
OG0046558	OALVG00000024593.1
OG0046560	OALVG00000012508.1
OG0046569	OALVG00000027900.1
OG0046570	OALVG00000027903.1
OG0046573	OALVG00000018715.1
OG0046589	OALVG00000016925.1
OG0046590	OALVG00000007896.1
OG0046591	OALVG00000007897.1
OG0046600	OALVG00000010377.1
OG0046604	OALVG00000034272.1
OG0046613	OALVG00000005047.1
OG0046621	OALVG00000017161.1
OG0046625	OALVG00000032439.1
OG0046626	OALVG00000008139.1
OG0046650	OALVG00000017009.1
OG0046653	OALVG00000017877.1
OG0046655	OALVG00000003690.1
OG0046660	OALVG00000021814.1
OG0046662	OALVG00000013670.1
OG0046665	OALVG00000021272.1
OG0046673	OALVG00000005113.1
OG0046675	OALVG00000022040.1
OG0046695	OALVG00000011792.1
OG0046705	OALVG00000021775.1
OG0046712	OALVG00000015495.1
OG0046727	OALVG00000005094.1
OG0046744	OALVG00000005816.1
OG0046747	OALVG00000002346.1
OG0046762	OALVG00000021816.1
OG0046768	OALVG00000031880.1
OG0046771	OALVG00000026015.1
OG0046781	OALVG00000023828.1
OG0046791	OALVG00000017725.1
OG0046793	OALVG00000011135.1
OG0046794	OALVG00000027089.1
OG0046796	OALVG00000022900.1
OG0046800	OALVG00000007527.1
OG0046804	OALVG00000015912.1
OG0046819	OALVG00000011035.1
OG0046828	OALVG00000030015.1
OG0046830	OALVG00000002351.1
OG0046833	OALVG00000007526.1
OG0046840	OALVG00000016156.1
OG0046842	OALVG00000008030.1
OG0046844	OALVG00000016887.1
OG0046849	OALVG00000017821.1
OG0046855	OALVG00000028448.1
OG0046862	OALVG00000030261.1
OG0046864	OALVG00000007582.1
OG0046872	OALVG00000019417.1
OG0046873	OALVG00000011943.1
OG0048300	OALVG00000026265.1
OG0049627	OALVG00000001354.1
OG0049646	OALVG00000001902.1
OG0049657	OALVG00000002272.1
OG0049692	OALVG00000004147.1
OG0049767	OALVG00000007570.1
OG0049784	OALVG00000008135.1
OG0049785	OALVG00000008144.1
OG0049842	OALVG00000010462.1
OG0049845	OALVG00000010521.1
OG0049891	OALVG00000011894.1
OG0049904	OALVG00000012602.1
OG0049906	OALVG00000012683.1
OG0049942	OALVG00000014027.1
OG0049945	OALVG00000014096.1
OG0049946	OALVG00000014103.1
OG0049947	OALVG00000014181.1
OG0049959	OALVG00000014840.1
OG0049960	OALVG00000014841.1
OG0049970	OALVG00000015325.1
OG0049996	OALVG00000016753.1
OG0050011	OALVG00000017590.1
OG0050013	OALVG00000017842.1
OG0050039	OALVG00000019156.1
OG0050046	OALVG00000019502.1
OG0050059	OALVG00000020257.1
OG0050093	OALVG00000022321.1
OG0050111	OALVG00000023205.1
OG0050121	OALVG00000023677.1
OG0050145	OALVG00000025300.1
OG0050152	OALVG00000025457.1
OG0050170	OALVG00000026178.1
OG0050193	OALVG00000027636.1
OG0050196	OALVG00000027801.1
OG0050202	OALVG00000028228.1
OG0050205	OALVG00000028327.1
OG0050210	OALVG00000028470.1
OG0050212	OALVG00000028776.1
OG0050221	OALVG00000029039.1
OG0050222	OALVG00000029061.1
OG0050230	OALVG00000029405.1
OG0050258	OALVG00000031016.1
OG0050266	OALVG00000031409.1
OG0050280	OALVG00000032190.1
OG0050310	OALVG00000033420.1
OG0050312	OALVG00000033581.1
OG0050325	OALVG00000034273.1
OG0050328	OALVG00000034467.1
OG0050331	OALVG00000034636.1
