OG0000121	Lluy|FUN_014864-T1, Lluy|FUN_040648-T1
OG0046746	Lluy|FUN_009409-T1
OG0046748	Lluy|FUN_009415-T1
OG0046751	Lluy|FUN_010197-T1
OG0046755	Lluy|FUN_010546-T1
OG0046759	Lluy|FUN_010729-T1
OG0046760	Lluy|FUN_010735-T1
OG0046769	Lluy|FUN_011380-T1
OG0046772	Lluy|FUN_011584-T1
OG0046774	Lluy|FUN_011663-T1
OG0046776	Lluy|FUN_011820-T1
OG0046777	Lluy|FUN_011911-T1
OG0046786	Lluy|FUN_012599-T1
OG0046787	Lluy|FUN_012623-T1
OG0046788	Lluy|FUN_012626-T1
OG0046789	Lluy|FUN_012689-T1
OG0046790	Lluy|FUN_012714-T1
OG0046792	Lluy|FUN_012813-T1
OG0046805	Lluy|FUN_014236-T1
OG0046808	Lluy|FUN_014301-T1
OG0046809	Lluy|FUN_014407-T1
OG0046812	Lluy|FUN_014807-T1
OG0046815	Lluy|FUN_015241-T1
OG0046817	Lluy|FUN_015312-T1
OG0046818	Lluy|FUN_015349-T1
OG0046829	Lluy|FUN_016530-T1
OG0046853	Lluy|FUN_023351-T1
OG0046856	Lluy|FUN_024375-T1
OG0046858	Lluy|FUN_025910-T1
OG0046859	Lluy|FUN_025995-T1
OG0046860	Lluy|FUN_027279-T1
OG0046863	Lluy|FUN_028625-T1
OG0046866	Lluy|FUN_028933-T1
OG0046867	Lluy|FUN_029341-T1
OG0046870	Lluy|FUN_029860-T1
OG0047604	
OG0047620	
OG0047793	
OG0047796	
OG0048585	
OG0049050	
OG0049095	
OG0049170	
OG0049177	
OG0049347	
OG0049475	
OG0049562	
OG0049589	
OG0050423	
OG0050562	
OG0050581	
OG0050590	
OG0050832	
OG0051292	
OG0051481	
OG0051484	
OG0051486	
OG0051515	
OG0051518	
OG0051521	
OG0051536	
OG0051574	
OG0051576	
OG0051601	
OG0051602	
OG0051616	
OG0051618	
OG0051621	
OG0051639	
OG0051641	
OG0051654	
OG0051669	
OG0051671	
OG0051675	
OG0051689	
OG0051691	
OG0051700	
OG0051704	
OG0051708	
OG0051711	
OG0051721	
OG0051732	
OG0051735	
OG0051740	
OG0051750	
OG0051754	
OG0051756	
OG0051761	
OG0051769	
OG0051772	
OG0051797	
OG0051798	
OG0051808	
OG0051924	
OG0051941	
OG0051974	
OG0052099	
OG0052112	
