#Host
OFRAG00000000002.1	K07834
OFRAG00000006553.1	K21882
OFRAG00000006557.1	K17346
OFRAG00000006566.1	K10244
OFRAG00000006568.1	K10205
OFRAG00000006575.1	K07611
OFRAG00000006577.1	K19721
OFRAG00000006590.1	K09364
OFRAG00000006591.2	K07192
OFRAG00000006595.1	K10380
OFRAG00000006598.1	K14008
OFRAG00000006600.1	K14008
OFRAG00000006605.1	K00744
OFRAG00000006606.1	K13142
OFRAG00000006611.1	K04828
OFRAG00000006613.1	K18490
OFRAG00000006622.1	K13982
OFRAG00000006655.1	K17814
OFRAG00000006656.1	K10390
OFRAG00000006660.1	K08585
OFRAG00000006661.1	K12196
OFRAG00000006662.1	K13297
OFRAG00000006662.2	K13297
OFRAG00000006670.1	K09866
OFRAG00000006676.1	K13698
OFRAG00000006676.2	K13698
OFRAG00000006683.1	K01298
OFRAG00000006700.1	K09062
OFRAG00000006707.1	K23664
OFRAG00000006711.1	K06772
OFRAG00000006718.1	K22237
OFRAG00000006718.2	K22237
OFRAG00000006721.1	K13208
OFRAG00000006721.2	K13208
OFRAG00000006726.1	K05726
OFRAG00000006731.1	K17256
OFRAG00000006732.1	K05284
OFRAG00000006737.1	K04194
OFRAG00000006741.1	K07809
OFRAG00000006746.1	K13781
OFRAG00000006751.1	K08558
OFRAG00000006759.1	K20003
OFRAG00000006768.1	K23335
OFRAG00000006770.2	K14325
OFRAG00000006773.1	K05011
OFRAG00000006780.1	K24526
OFRAG00000006791.1	K20780
OFRAG00000006794.1	K03068
OFRAG00000006803.1	K08115
OFRAG00000006809.2	K08115
OFRAG00000006814.1	K01349
OFRAG00000006817.1	K06792
OFRAG00000006819.1	K05312
OFRAG00000006822.1	K02183
OFRAG00000006822.2	K02183
OFRAG00000006826.1	K11153
OFRAG00000006827.1	K01446
OFRAG00000006832.1	K22559
OFRAG00000006839.1	K04194
OFRAG00000006843.2	K10362
OFRAG00000006850.2	K16894
OFRAG00000006862.1	K05052
OFRAG00000006863.1	K24436
OFRAG00000006878.1	K14353
OFRAG00000006891.1	K10521
OFRAG00000006892.1	K20465
OFRAG00000006905.1	K13982
OFRAG00000006906.1	K13982
OFRAG00000006908.1	K13982
OFRAG00000006909.1	K13116
OFRAG00000006910.1	K05126
OFRAG00000006923.1	K12471
OFRAG00000006926.1	K12471
OFRAG00000006949.1	K00510
OFRAG00000006950.1	K00510
OFRAG00000006951.1	K00510
OFRAG00000006952.1	K00510
OFRAG00000006953.1	K00510
OFRAG00000006954.1	K00510
OFRAG00000006960.1	K23195
OFRAG00000006963.1	K15178
OFRAG00000006969.1	K04698
OFRAG00000006970.1	K23195
OFRAG00000006972.1	K04505
OFRAG00000006977.1	K05125
OFRAG00000006980.1	K08462
OFRAG00000006982.1	K11590
OFRAG00000006984.1	K12362
OFRAG00000006990.1	K01231
OFRAG00000006992.1	K01876
OFRAG00000006994.1	K05401
OFRAG00000006998.1	K14716
OFRAG00000007002.1	K01876
OFRAG00000007021.1	K24387
OFRAG00000007023.1	K13752
OFRAG00000007028.1	K01835
OFRAG00000007034.1	K20100
OFRAG00000007037.1	K10423
OFRAG00000007040.1	K17894
OFRAG00000007043.1	K22063
OFRAG00000007044.1	K19589
OFRAG00000007045.1	K09098
OFRAG00000007047.1	K09098
OFRAG00000007051.1	K06537
OFRAG00000007054.1	K17352
OFRAG00000007059.1	K20051
OFRAG00000007070.1	K08858
OFRAG00000007084.1	K04863
OFRAG00000007089.1	K17751
OFRAG00000007089.2	K17751
OFRAG00000007089.3	K17751
OFRAG00000007090.1	K12567
OFRAG00000007094.1	K11430
OFRAG00000007095.1	K06237
OFRAG00000007097.1	K11430
OFRAG00000007098.1	K11585
OFRAG00000007102.1	K03676
OFRAG00000007106.1	K13298
OFRAG00000007112.1	K10447
OFRAG00000007113.1	K24626
OFRAG00000007130.1	K01594
OFRAG00000007133.2	K17356
OFRAG00000007135.1	K01298
OFRAG00000007136.1	K16477
OFRAG00000007137.1	K06237
OFRAG00000007142.1	K18438
OFRAG00000007153.1	K12563
OFRAG00000007155.1	K13539
OFRAG00000007168.1	K21343
OFRAG00000007180.1	K05449
OFRAG00000007181.1	K02599
OFRAG00000007182.1	K04223
OFRAG00000007183.1	K04223
OFRAG00000007184.1	K04223
OFRAG00000007185.1	K04223
OFRAG00000007187.1	K04170
OFRAG00000007195.1	K01310
OFRAG00000007201.1	K18932
OFRAG00000007206.1	K06100
OFRAG00000007209.1	K05725
OFRAG00000007209.2	K05725
OFRAG00000007210.1	K07418
OFRAG00000007211.1	K07763
OFRAG00000007212.1	K07763
OFRAG00000007213.1	K07763
OFRAG00000007216.1	K18439
OFRAG00000007216.2	K18439
OFRAG00000007218.1	K04827
OFRAG00000007226.1	K19041
OFRAG00000007228.1	K18808
OFRAG00000007239.1	K13963
OFRAG00000007240.1	K13963
OFRAG00000007241.1	K13963
OFRAG00000007256.1	K24427
OFRAG00000007262.1	K16537
OFRAG00000007262.2	K16537
OFRAG00000007270.1	K14074
OFRAG00000007272.1	K14074
OFRAG00000007273.1	K04412
OFRAG00000007278.1	K14075
OFRAG00000007292.1	K14388
OFRAG00000007293.1	K08033
OFRAG00000007295.1	K08033
OFRAG00000007299.1	K18741
OFRAG00000007314.1	K16770
OFRAG00000007321.2	K07532
OFRAG00000007321.3	K07532
OFRAG00000007326.1	K11536
OFRAG00000007328.1	K11536
OFRAG00000007332.1	K13912
OFRAG00000007334.1	K17894
OFRAG00000007338.1	K09183
OFRAG00000007339.1	K09183
OFRAG00000007346.1	K00857
OFRAG00000007358.1	K07819
OFRAG00000007359.1	K07819
OFRAG00000007366.1	K22738
OFRAG00000007369.1	K01672
OFRAG00000007374.1	K12236
OFRAG00000007375.2	K13171
OFRAG00000007390.1	K24455
OFRAG00000007393.1	K04559
OFRAG00000007402.2	K12592
OFRAG00000007404.1	K17491
OFRAG00000007404.2	K17491
OFRAG00000007408.1	K07967
OFRAG00000007410.1	K10321
OFRAG00000007411.1	K09228
OFRAG00000007412.1	K14354
OFRAG00000007421.1	K04397
OFRAG00000007430.1	K09851
OFRAG00000007440.1	K01769
OFRAG00000007460.1	K05673
OFRAG00000007463.1	K02183
OFRAG00000007464.1	K02183
OFRAG00000007471.1	K11810
OFRAG00000007472.1	K11810
OFRAG00000007473.1	K05849
OFRAG00000007475.1	K05849
OFRAG00000007486.1	K10082
OFRAG00000007492.1	K01025
OFRAG00000007493.1	K20825
OFRAG00000007494.1	K16474
OFRAG00000007496.1	K01103
OFRAG00000007496.2	K01103
OFRAG00000007496.3	K01103
OFRAG00000007496.4	K01103
OFRAG00000007497.1	K09531
OFRAG00000007501.1	K00653
OFRAG00000007513.1	K10172
OFRAG00000007517.1	K05052
OFRAG00000007532.1	K15157
OFRAG00000007543.1	K02183
OFRAG00000007549.1	K19289
OFRAG00000007554.1	K22037
OFRAG00000007556.1	K10392
OFRAG00000007562.1	K00510
OFRAG00000007574.1	K24412
OFRAG00000007575.1	K19269
OFRAG00000007576.1	K09525
OFRAG00000007580.2	K11855
OFRAG00000007583.1	K16535
OFRAG00000007588.1	K09668
OFRAG00000007607.1	K01262
OFRAG00000007614.1	K05636
OFRAG00000007626.2	K10402
OFRAG00000007628.1	K19347
OFRAG00000007629.1	K19347
OFRAG00000007634.1	K17653
OFRAG00000007635.1	K11543
OFRAG00000007637.1	K06084
OFRAG00000007647.1	K22188
OFRAG00000007650.1	K12323
OFRAG00000007666.1	K24492
OFRAG00000007672.1	K09640
OFRAG00000007676.1	K19361
OFRAG00000007683.1	K20412
OFRAG00000007702.1	K09228
OFRAG00000007718.1	K20251
OFRAG00000007755.1	K20225
OFRAG00000007759.1	K17536
OFRAG00000007765.1	K18327
OFRAG00000007770.1	K08145
OFRAG00000007778.1	K04677
OFRAG00000007779.1	K15309
OFRAG00000007782.1	K12757
OFRAG00000007786.1	K07819
OFRAG00000007793.1	K06947
OFRAG00000007795.1	K00616
OFRAG00000007797.1	K11844
OFRAG00000007815.1	K13780
OFRAG00000007818.1	K22529
OFRAG00000007824.1	K20053
OFRAG00000007842.1	K06237
OFRAG00000007850.1	K24610
OFRAG00000007855.1	K01179
OFRAG00000007856.1	K04887
OFRAG00000007859.1	K14464
OFRAG00000007861.1	K02599
OFRAG00000007862.1	K02599
OFRAG00000007874.1	K23792
OFRAG00000007875.1	K23792
OFRAG00000007883.1	K04657
OFRAG00000007892.1	K16498
OFRAG00000007899.1	K10751
OFRAG00000007915.1	K12026
OFRAG00000007920.1	K13709
OFRAG00000007922.1	K20705
OFRAG00000007923.1	K20705
OFRAG00000007924.2	K23437
OFRAG00000007929.1	K05700
OFRAG00000007933.1	K22147
OFRAG00000007936.1	K06813
OFRAG00000007937.1	K06813
OFRAG00000007939.1	K12472
OFRAG00000007943.2	K23289
OFRAG00000007944.1	K07901
OFRAG00000007947.1	K10955
OFRAG00000007957.1	K15177
OFRAG00000007972.1	K03006
OFRAG00000007975.1	K08635
OFRAG00000007976.1	K05036
OFRAG00000007982.1	K13781
OFRAG00000008009.1	K04555
OFRAG00000008018.1	K20409
OFRAG00000008025.1	K10755
OFRAG00000008026.1	K18204
OFRAG00000008027.1	K15608
OFRAG00000008033.1	K05312
OFRAG00000008034.1	K14308
OFRAG00000008036.2	K23544
OFRAG00000008037.1	K02580
OFRAG00000008045.1	K08840
OFRAG00000008046.1	K05312
OFRAG00000008048.1	K13807
OFRAG00000008061.1	K04160
OFRAG00000008062.1	K04160
OFRAG00000008066.1	K17867
OFRAG00000008068.1	K11406
OFRAG00000008068.2	K11406
OFRAG00000008071.1	K08104
OFRAG00000008078.1	K00742
OFRAG00000008102.1	K13358
OFRAG00000008104.1	K10249
OFRAG00000008112.1	K10289
OFRAG00000008116.1	K05731
OFRAG00000008119.1	K05731
OFRAG00000008128.1	K13187
OFRAG00000008128.2	K13187
OFRAG00000008131.1	K13187
OFRAG00000008149.1	K01738
OFRAG00000008150.1	K16539
OFRAG00000008152.1	K02514
OFRAG00000008157.1	K00727
OFRAG00000008162.1	K20174
OFRAG00000008165.1	K17929
OFRAG00000008169.1	K05643
OFRAG00000008176.1	K07763
OFRAG00000008177.1	K01315
OFRAG00000008182.1	K08823
OFRAG00000008183.1	K13866
OFRAG00000008191.1	K23533
OFRAG00000008192.1	K16351
OFRAG00000008202.1	K08439
OFRAG00000008203.1	K04975
OFRAG00000008204.1	K01769
OFRAG00000008205.1	K01769
OFRAG00000008214.1	K09381
OFRAG00000008223.1	K11728
OFRAG00000008225.1	K11728
OFRAG00000008235.1	K21878
OFRAG00000008236.1	K00128
OFRAG00000008237.1	K00128
OFRAG00000008239.2	K16453
OFRAG00000008245.1	K00288
OFRAG00000008252.1	K24186
OFRAG00000008259.1	K06619
OFRAG00000008261.1	K04362
OFRAG00000008264.1	K05038
OFRAG00000008270.1	K02678
OFRAG00000008271.1	K08076
OFRAG00000008273.1	K04606
OFRAG00000008276.1	K18468
OFRAG00000008284.1	K19179
OFRAG00000008288.1	K23927
OFRAG00000008303.1	K24469
OFRAG00000008304.1	K06051
OFRAG00000008306.1	K22659
OFRAG00000008312.2	K11491
OFRAG00000008313.1	K01025
OFRAG00000008316.1	K04606
OFRAG00000008317.1	K07819
OFRAG00000008324.2	K23741
OFRAG00000008334.1	K12337
OFRAG00000008340.1	K24610
OFRAG00000008342.1	K20705
OFRAG00000008348.1	K16465
OFRAG00000008350.1	K14354
OFRAG00000008352.1	K14354
OFRAG00000008361.2	K14301
OFRAG00000008373.1	K12898
OFRAG00000008374.1	K11997
OFRAG00000008374.2	K11997
OFRAG00000008379.2	K01528
OFRAG00000008379.3	K01528
OFRAG00000008379.4	K01528
OFRAG00000008393.1	K22656
OFRAG00000008394.1	K22656
OFRAG00000008395.1	K16449
OFRAG00000008400.1	K19662
OFRAG00000008401.1	K02677
OFRAG00000008403.1	K02677
OFRAG00000008404.1	K02677
OFRAG00000008406.1	K10478
OFRAG00000008415.1	K06238
OFRAG00000008429.1	K17341
OFRAG00000008432.2	K12620
OFRAG00000008441.1	K13192
OFRAG00000008449.1	K16457
OFRAG00000008451.1	K08202
OFRAG00000008452.1	K08202
OFRAG00000008453.1	K07763
OFRAG00000008454.1	K14353
OFRAG00000008460.1	K04950
OFRAG00000008468.1	K17353
OFRAG00000008473.1	K15026
OFRAG00000008476.1	K09866
OFRAG00000008485.1	K10955
OFRAG00000008487.1	K06238
OFRAG00000008492.1	K04218
OFRAG00000008496.1	K20051
OFRAG00000008497.1	K18343
OFRAG00000008504.1	K08380
OFRAG00000008508.1	K04431
OFRAG00000008515.1	K07912
OFRAG00000008518.1	K23281
OFRAG00000008522.1	K11723
OFRAG00000008524.1	K16498
OFRAG00000008532.1	K10631
OFRAG00000008533.1	K08488
OFRAG00000008537.1	K07962
OFRAG00000008539.1	K04810
OFRAG00000008541.1	K00121
OFRAG00000008542.1	K08766
OFRAG00000008544.1	K06238
OFRAG00000008545.1	K06238
OFRAG00000008550.1	K06560
OFRAG00000008556.1	K16506
OFRAG00000008559.1	K17278
OFRAG00000008563.1	K09489
OFRAG00000008563.2	K09489
OFRAG00000008565.1	K08190
OFRAG00000008573.1	K06095
OFRAG00000008581.1	K06095
OFRAG00000008583.1	K01852
OFRAG00000008597.1	K05855
OFRAG00000008598.1	K20349
OFRAG00000008605.1	K04975
OFRAG00000008606.1	K15167
OFRAG00000008606.2	K15167
OFRAG00000008607.1	K00727
OFRAG00000008623.1	K02214
OFRAG00000008628.1	K21435
OFRAG00000008633.1	K05605
OFRAG00000008636.1	K09430
OFRAG00000008665.1	K06051
OFRAG00000008670.1	K05736
OFRAG00000008671.1	K23869
OFRAG00000008672.1	K10408
OFRAG00000008674.1	K10408
OFRAG00000008678.1	K10408
OFRAG00000008691.1	K19907
OFRAG00000008695.1	K04827
OFRAG00000008705.1	K09206
OFRAG00000008707.1	K02183
OFRAG00000008714.1	K06839
OFRAG00000008717.2	K12386
OFRAG00000008717.3	K12386
OFRAG00000008733.1	K00799
OFRAG00000008738.1	K15047
OFRAG00000008747.1	K06560
OFRAG00000008754.1	K18407
OFRAG00000008756.1	K06839
OFRAG00000008759.1	K05869
OFRAG00000008760.1	K05869
OFRAG00000008761.1	K19360
OFRAG00000008765.1	K04420
OFRAG00000008783.1	K13044
OFRAG00000008783.2	K13044
OFRAG00000008784.1	K00915
OFRAG00000008787.1	K10955
OFRAG00000008789.1	K11147
OFRAG00000008790.1	K07937
OFRAG00000008795.1	K16059
OFRAG00000008796.1	K16059
OFRAG00000008798.1	K16059
OFRAG00000008801.1	K12394
OFRAG00000008801.3	K12394
OFRAG00000008809.1	K24469
OFRAG00000008824.1	K06238
OFRAG00000008826.1	K06238
OFRAG00000008827.1	K06238
OFRAG00000008828.1	K06238
OFRAG00000008829.1	K05863
OFRAG00000008832.1	K20042
OFRAG00000008838.1	K18490
OFRAG00000008840.1	K08574
OFRAG00000008848.1	K11485
OFRAG00000008851.1	K17083
OFRAG00000008853.1	K04988
OFRAG00000008856.1	K00614
OFRAG00000008865.1	K08705
OFRAG00000008866.2	K04378
OFRAG00000008876.1	K04733
OFRAG00000008878.1	K06238
OFRAG00000008881.1	K06238
OFRAG00000008883.1	K23218
OFRAG00000008897.1	K00761
OFRAG00000008901.1	K10141
OFRAG00000008905.1	K17481
OFRAG00000008907.1	K11307
OFRAG00000008907.2	K11307
OFRAG00000008916.1	K21396
OFRAG00000008917.1	K04606
OFRAG00000008919.1	K10448
OFRAG00000008920.1	K10448
OFRAG00000008921.1	K04532
OFRAG00000008922.1	K02449
OFRAG00000008924.1	K02449
OFRAG00000008925.1	K01183
OFRAG00000008927.2	K01711
OFRAG00000008929.1	K10457
OFRAG00000008930.1	K10448
OFRAG00000008932.1	K05696
OFRAG00000008936.1	K16676
OFRAG00000008936.2	K16676
OFRAG00000008937.1	K15623
OFRAG00000008951.1	K06238
OFRAG00000008955.1	K19910
OFRAG00000008957.2	K08959
OFRAG00000008967.1	K23047
OFRAG00000008973.1	K06236
OFRAG00000008975.1	K11852
OFRAG00000008978.1	K17783
OFRAG00000008983.1	K24185
OFRAG00000008987.1	K09662
OFRAG00000008988.1	K07951
OFRAG00000008996.1	K03068
OFRAG00000009003.1	K08104
OFRAG00000009004.1	K08104
OFRAG00000009005.1	K07967
OFRAG00000009006.1	K07967
OFRAG00000009007.1	K07967
OFRAG00000009008.1	K07967
OFRAG00000009014.1	K07763
OFRAG00000009015.1	K07763
OFRAG00000009016.1	K07763
OFRAG00000009017.1	K07763
OFRAG00000009018.1	K07763
OFRAG00000009019.1	K07763
OFRAG00000009020.1	K07763
OFRAG00000009022.1	K07763
OFRAG00000009023.1	K07763
OFRAG00000009024.1	K07763
OFRAG00000009027.1	K07763
OFRAG00000009028.1	K07763
OFRAG00000009035.1	K12562
OFRAG00000009041.1	K10408
OFRAG00000009073.1	K02599
OFRAG00000009083.1	K01672
OFRAG00000009089.1	K10226
OFRAG00000009090.1	K04233
OFRAG00000009091.1	K04233
OFRAG00000009092.1	K04491
OFRAG00000009092.2	K04491
OFRAG00000009097.1	K23624
OFRAG00000009098.1	K20840
OFRAG00000009100.1	K23688
OFRAG00000009101.1	K23741
OFRAG00000009104.1	K18050
OFRAG00000009108.1	K18050
OFRAG00000009110.2	K19636
OFRAG00000009112.1	K18743
OFRAG00000009112.2	K18743
OFRAG00000009120.1	K22990
OFRAG00000009121.1	K20166
OFRAG00000009127.1	K15734
OFRAG00000009129.1	K15734
OFRAG00000009132.1	K09203
OFRAG00000009133.2	K04348
OFRAG00000009135.1	K15837
OFRAG00000009139.1	K16550
OFRAG00000009140.2	K11967
OFRAG00000009142.1	K11967
OFRAG00000009145.1	K02599
OFRAG00000009155.1	K23687
OFRAG00000009157.1	K04224
OFRAG00000009157.2	K04224
OFRAG00000009159.1	K02183
OFRAG00000009160.1	K23624
OFRAG00000009165.1	K11849
OFRAG00000009169.1	K09502
OFRAG00000009170.1	K24436
OFRAG00000009176.1	K05175
OFRAG00000009190.1	K12301
OFRAG00000009195.1	K12301
OFRAG00000009197.1	K12301
OFRAG00000009200.1	K22866
OFRAG00000009207.1	K01202
OFRAG00000009212.1	K23605
OFRAG00000009214.1	K04445
OFRAG00000009215.1	K04223
OFRAG00000009216.1	K13047
OFRAG00000009218.1	K04706
OFRAG00000009221.1	K04534
OFRAG00000009226.1	K04536
OFRAG00000009227.1	K16194
OFRAG00000009232.1	K14165
OFRAG00000009234.1	K04606
OFRAG00000009237.1	K04610
OFRAG00000009238.1	K04606
OFRAG00000009239.1	K04606
OFRAG00000009241.1	K04610
OFRAG00000009242.1	K04610
OFRAG00000009244.1	K05628
OFRAG00000009250.1	K10444
OFRAG00000009260.1	K04975
OFRAG00000009262.1	K01298
OFRAG00000009265.1	K06825
OFRAG00000009274.1	K15255
OFRAG00000009284.1	K06756
OFRAG00000009287.1	K05853
OFRAG00000009287.2	K05853
OFRAG00000009297.1	K04145
OFRAG00000009298.2	K13990
OFRAG00000009300.1	K17256
OFRAG00000009302.1	K24610
OFRAG00000009303.1	K24069
OFRAG00000009303.3	K24069
OFRAG00000009306.1	K17602
OFRAG00000009310.1	K04851
OFRAG00000009320.1	K11658
OFRAG00000009321.1	K22524
OFRAG00000009324.1	K03209
OFRAG00000009324.2	K03209
OFRAG00000009325.1	K01357
OFRAG00000009331.1	K11124
OFRAG00000009338.1	K07203
OFRAG00000009342.1	K07203
OFRAG00000009348.1	K07203
OFRAG00000009354.1	K04681
OFRAG00000009355.1	K04681
OFRAG00000009365.1	K19525
OFRAG00000009370.1	K07763
OFRAG00000009375.1	K08202
OFRAG00000009382.1	K10226
OFRAG00000009385.1	K00747
OFRAG00000009391.1	K05036
OFRAG00000009392.1	K05037
OFRAG00000009399.1	K21989
OFRAG00000009404.1	K05313
OFRAG00000009408.1	K01681
OFRAG00000009410.1	K16734
OFRAG00000009414.1	K05701
OFRAG00000009414.2	K05701
OFRAG00000009417.2	K18622
OFRAG00000009420.1	K12398
OFRAG00000009421.1	K12398
OFRAG00000009453.1	K02599
OFRAG00000009461.1	K20633
OFRAG00000009476.1	K12895
OFRAG00000009480.1	K09341
OFRAG00000009483.1	K15043
OFRAG00000009484.1	K10105
OFRAG00000009495.1	K13191
OFRAG00000009500.1	K11498
OFRAG00000009506.1	K11498
OFRAG00000009511.1	K05312
OFRAG00000009514.1	K13023
OFRAG00000009515.1	K13023
OFRAG00000009529.1	K04417
OFRAG00000009537.1	K07819
OFRAG00000009539.1	K09031
OFRAG00000009540.1	K04530
OFRAG00000009545.1	K06704
OFRAG00000009549.1	K08547
OFRAG00000009564.1	K06125
OFRAG00000009570.1	K04437
OFRAG00000009577.2	K11420
OFRAG00000009580.1	K23113
OFRAG00000009581.1	K10955
OFRAG00000009584.2	K11653
OFRAG00000009586.1	K23868
OFRAG00000009589.1	K13023
OFRAG00000009592.1	K08619
OFRAG00000009600.1	K08955
OFRAG00000009608.1	K00799
OFRAG00000009609.1	K01025
OFRAG00000009611.1	K04579
OFRAG00000009612.1	K15502
OFRAG00000009612.2	K15502
OFRAG00000009617.1	K09651
OFRAG00000009619.1	K09651
OFRAG00000009638.1	K18595
OFRAG00000009642.1	K00108
OFRAG00000009643.1	K00108
OFRAG00000009644.1	K00108
OFRAG00000009647.1	K08428
OFRAG00000009648.1	K04169
OFRAG00000009649.1	K01183
OFRAG00000009650.1	K05038
OFRAG00000009651.1	K08428
OFRAG00000009652.1	K04284
OFRAG00000009655.1	K04282
OFRAG00000009656.1	K08428
OFRAG00000009658.1	K04282
OFRAG00000009659.1	K08428
OFRAG00000009666.1	K05463
OFRAG00000009671.1	K01183
OFRAG00000009672.1	K17256
OFRAG00000009690.1	K22525
OFRAG00000009690.2	K22525
OFRAG00000009696.1	K17265
OFRAG00000009697.1	K10226
OFRAG00000009702.1	K12896
OFRAG00000009702.2	K12896
OFRAG00000009702.3	K12896
OFRAG00000009704.1	K00485
OFRAG00000009710.1	K00940
OFRAG00000009714.1	K21283
OFRAG00000009718.1	K16732
OFRAG00000009721.1	K08069
OFRAG00000009732.1	K16548
OFRAG00000009734.1	K11307
OFRAG00000009738.1	K14007
OFRAG00000009739.1	K04307
OFRAG00000009740.1	K04307
OFRAG00000009741.1	K14616
OFRAG00000009742.1	K17550
OFRAG00000009747.1	K08619
OFRAG00000009748.1	K08821
OFRAG00000009752.2	K14996
OFRAG00000009758.1	K12485
OFRAG00000009761.1	K14321
OFRAG00000009762.2	K11651
OFRAG00000009764.1	K06704
OFRAG00000009765.1	K06704
OFRAG00000009772.1	K04170
OFRAG00000009774.1	K14620
OFRAG00000009777.1	K17493
OFRAG00000009793.1	K22540
OFRAG00000009794.1	K14388
OFRAG00000009798.1	K22540
OFRAG00000009800.1	K04467
OFRAG00000009801.1	K04467
OFRAG00000009804.1	K13509
OFRAG00000009805.1	K08811
OFRAG00000009808.1	K19472
OFRAG00000009887.1	K05762
OFRAG00000009893.1	K05186
OFRAG00000009895.1	K08834
OFRAG00000009903.1	K23927
OFRAG00000009904.1	K02183
OFRAG00000009915.1	K23712
OFRAG00000009915.2	K23712
OFRAG00000009920.1	K04946
OFRAG00000009926.1	K22909
OFRAG00000009930.1	K05312
OFRAG00000009932.1	K05312
OFRAG00000009933.1	K05312
OFRAG00000009934.1	K05312
OFRAG00000009939.1	K12893
OFRAG00000009940.1	K12893
OFRAG00000009941.1	K13143
OFRAG00000009946.1	K20225
OFRAG00000009946.2	K20225
OFRAG00000009965.1	K11161
OFRAG00000009968.1	K20057
OFRAG00000009970.1	K16358
OFRAG00000009972.1	K12026
OFRAG00000009975.1	K14298
OFRAG00000009983.1	K16890
OFRAG00000009989.1	K08601
OFRAG00000009990.1	K08601
OFRAG00000009993.1	K04437
OFRAG00000009996.1	K09300
OFRAG00000010000.1	K14296
OFRAG00000010002.1	K04210
OFRAG00000010022.1	K23577
OFRAG00000010025.1	K11091
OFRAG00000010028.1	K04194
OFRAG00000010034.1	K18401
OFRAG00000010036.1	K04223
OFRAG00000010047.1	K12040
OFRAG00000010054.1	K08635
OFRAG00000010061.1	K20007
OFRAG00000010063.1	K20007
OFRAG00000010064.1	K07763
OFRAG00000010065.1	K07763
OFRAG00000010066.1	K07763
OFRAG00000010073.1	K03165
OFRAG00000010074.1	K08807
OFRAG00000010075.1	K08807
OFRAG00000010076.1	K07299
OFRAG00000010078.1	K07299
OFRAG00000010084.1	K10361
OFRAG00000010089.1	K23551
OFRAG00000010090.1	K05016
OFRAG00000010093.1	K06237
OFRAG00000010103.1	K20123
OFRAG00000010109.1	K08883
OFRAG00000010159.1	K05016
OFRAG00000010190.1	K08733
OFRAG00000010194.1	K19930
OFRAG00000010198.1	K23014
OFRAG00000010208.2	K01785
OFRAG00000010220.1	K09228
OFRAG00000010226.1	K04284
OFRAG00000010237.1	K01115
OFRAG00000010242.1	K23847
OFRAG00000010245.1	K01392
OFRAG00000010247.2	K22257
OFRAG00000010255.1	K05101
OFRAG00000010256.1	K04360
OFRAG00000010261.1	K07299
OFRAG00000010266.1	K20412
OFRAG00000010269.1	K09172
OFRAG00000010269.2	K09172
OFRAG00000010296.1	K20392
OFRAG00000010297.2	K11831
OFRAG00000010306.1	K06820
OFRAG00000010307.1	K18592
OFRAG00000010308.1	K08190
OFRAG00000010309.1	K08190
OFRAG00000010311.1	K17563
OFRAG00000010331.1	K11456
OFRAG00000010343.1	K02184
OFRAG00000010344.1	K05619
OFRAG00000010346.1	K05619
OFRAG00000010352.1	K18245
OFRAG00000010356.1	K14316
OFRAG00000010359.1	K13526
OFRAG00000010359.2	K13526
OFRAG00000010372.1	K04462
OFRAG00000010373.1	K10661
OFRAG00000010377.1	K01298
OFRAG00000010386.1	K04975
OFRAG00000010389.1	K12571
OFRAG00000010391.1	K09214
OFRAG00000010394.1	K04527
OFRAG00000010400.1	K09405
OFRAG00000010407.1	K16796
OFRAG00000010413.1	K04218
OFRAG00000010416.1	K07997
OFRAG00000010424.1	K09584
OFRAG00000010439.1	K20412
OFRAG00000010446.1	K24095
OFRAG00000010456.1	K16060
OFRAG00000010472.1	K02577
OFRAG00000010477.1	K00471
OFRAG00000010478.1	K20051
OFRAG00000010481.2	K23905
OFRAG00000010487.1	K18592
OFRAG00000010491.1	K04255
OFRAG00000010493.1	K11810
OFRAG00000010496.1	K19533
OFRAG00000010500.1	K03654
OFRAG00000010509.1	K14322
OFRAG00000010512.1	K14322
OFRAG00000010513.2	K05849
OFRAG00000010523.1	K10950
OFRAG00000010539.1	K07378
OFRAG00000010540.1	K16943
OFRAG00000010557.1	K08701
OFRAG00000010558.1	K08701
OFRAG00000010562.1	K00022
OFRAG00000010600.2	K13207
OFRAG00000010600.3	K13207
OFRAG00000010608.1	K04218
OFRAG00000010612.1	K09634
OFRAG00000010614.1	K15613
OFRAG00000010614.2	K15613
OFRAG00000010645.1	K09220
OFRAG00000010657.1	K08202
OFRAG00000010659.1	K14411
OFRAG00000010662.1	K19721
OFRAG00000010672.1	K00911
OFRAG00000010686.1	K09848
OFRAG00000010711.1	K13781
OFRAG00000010721.1	K16056
OFRAG00000010725.1	K20283
OFRAG00000010732.1	K20636
OFRAG00000010732.2	K20636
OFRAG00000010735.1	K04984
OFRAG00000010740.1	K20465
OFRAG00000010742.1	K21396
OFRAG00000010743.1	K21396
OFRAG00000010745.1	K05038
OFRAG00000010747.1	K05041
OFRAG00000010749.1	K02599
OFRAG00000010751.1	K24485
OFRAG00000010756.2	K18728
OFRAG00000010764.1	K15682
OFRAG00000010776.1	K08765
OFRAG00000010777.1	K08765
OFRAG00000010778.1	K08765
OFRAG00000010781.2	K16582
OFRAG00000010785.1	K08874
OFRAG00000010791.1	K09173
OFRAG00000010792.1	K09173
OFRAG00000010796.1	K05313
OFRAG00000010797.1	K00907
OFRAG00000010798.1	K00591
OFRAG00000010803.1	K18134
