#Host
RPACG00000000026.1	K12478
RPACG00000029244.1	K01992
RPACG00000029250.1	K06934
RPACG00000029254.1	K10745
RPACG00000029255.1	K23881
RPACG00000029257.1	K23881
RPACG00000029258.1	K14801
RPACG00000029267.1	K03355
RPACG00000029268.1	K16539
RPACG00000029269.1	K00913
RPACG00000029280.1	K20101
RPACG00000029282.1	K04456
RPACG00000029283.1	K12402
RPACG00000029291.1	K01992
RPACG00000029297.1	K09553
RPACG00000029298.1	K02730
RPACG00000029299.1	K15276
RPACG00000029300.1	K17655
RPACG00000029317.1	K09228
RPACG00000029317.1	K09191
RPACG00000029318.1	K09228
RPACG00000029318.1	K09191
RPACG00000029344.1	K12619
RPACG00000029344.1	K23934
RPACG00000029346.1	K15109
RPACG00000029349.1	K19657
RPACG00000029355.1	K15109
RPACG00000029358.1	K13254
RPACG00000029361.1	K03025
RPACG00000029362.1	K11304
RPACG00000029362.1	K11308
RPACG00000029363.1	K11884
RPACG00000029364.1	K23295
RPACG00000029366.1	K25095
RPACG00000029367.1	K10765
RPACG00000029370.1	K19984
RPACG00000029373.1	K04912
RPACG00000029378.1	K02759
RPACG00000029385.1	K10348
RPACG00000029386.1	K10586
RPACG00000029404.1	K25777
RPACG00000029405.1	K01899
RPACG00000029405.1	K01902
RPACG00000029405.1	K02907
RPACG00000029406.1	K06997
RPACG00000029409.1	K09680
RPACG00000029410.1	K12232
RPACG00000029412.1	K24721
RPACG00000029413.1	K06669
RPACG00000029422.1	K06058
RPACG00000029426.1	K02183
RPACG00000029426.1	K13448
RPACG00000029428.1	K13448
RPACG00000029430.1	K10262
RPACG00000029431.1	K16449
RPACG00000029432.1	K02259
RPACG00000029433.1	K01992
RPACG00000029457.1	K01992
RPACG00000029460.1	K15141
RPACG00000029462.1	K25206
RPACG00000029468.1	K08291
RPACG00000029506.1	K19679
RPACG00000029509.1	K02183
RPACG00000029509.1	K13448
RPACG00000029512.1	K02183
RPACG00000029512.1	K13448
RPACG00000029514.1	K02183
RPACG00000029514.1	K13448
RPACG00000029552.1	K00728
RPACG00000029553.1	K10104
RPACG00000029554.1	K02857
RPACG00000029555.1	K09453
RPACG00000029556.1	K07206
RPACG00000029557.1	K02216
RPACG00000029567.1	K05038
RPACG00000029575.1	K16795
RPACG00000029575.1	K25010
RPACG00000029576.1	K21988
RPACG00000029577.1	K14563
RPACG00000029584.1	K24745
RPACG00000029589.1	K04615
RPACG00000029594.1	K12896
RPACG00000029595.1	K00558
RPACG00000029602.1	K02308
RPACG00000029604.1	K14684
RPACG00000029607.1	K02739
RPACG00000029613.1	K06580
RPACG00000029615.1	K06580
RPACG00000029615.1	K01992
RPACG00000029622.1	K24496
RPACG00000029627.1	K09256
RPACG00000029637.1	K07407
RPACG00000029639.2	K07151
RPACG00000029639.2	K01992
RPACG00000029642.1	K02606
RPACG00000029643.1	K16578
RPACG00000029647.1	K16578
RPACG00000029650.2	K22017
RPACG00000029660.1	K17094
RPACG00000029661.1	K03626
RPACG00000029671.1	K14648
RPACG00000029672.1	K11972
RPACG00000029673.1	K08288
RPACG00000029678.1	K15430
RPACG00000029756.1	K18175
RPACG00000029763.1	K19400
RPACG00000029764.1	K03258
RPACG00000029765.1	K16578
RPACG00000029767.1	K16578
RPACG00000029768.1	K16578
RPACG00000029769.2	K20472
RPACG00000029770.1	K11649
RPACG00000029781.1	K04797
RPACG00000029787.1	K01126
RPACG00000029792.2	K11841
RPACG00000029793.1	K11147
RPACG00000029793.1	K00059
RPACG00000029798.1	K10727
RPACG00000029801.1	K00408
RPACG00000029803.1	K01992
RPACG00000029804.1	K02437
RPACG00000029822.1	K25483
RPACG00000029824.1	K25484
RPACG00000029830.1	K02988
RPACG00000029831.1	K18182
RPACG00000029834.1	K06999
RPACG00000029841.1	K10481
RPACG00000029842.1	K06867
RPACG00000029846.1	K18753
RPACG00000029848.1	K24169
RPACG00000029852.1	K24020
RPACG00000029857.1	K24779
RPACG00000029860.1	K21988
RPACG00000029861.1	K21988
RPACG00000029872.1	K03017
RPACG00000029874.1	K09880
RPACG00000029875.1	K10407
RPACG00000029876.1	K03262
RPACG00000029878.1	K05657
RPACG00000029878.1	K01992
RPACG00000029879.1	K10779
RPACG00000029880.1	K02273
RPACG00000029882.1	K08658
RPACG00000029882.1	K07052
RPACG00000029883.2	K06115
RPACG00000029884.1	K11829
RPACG00000029885.1	K13168
RPACG00000029896.1	K17268
RPACG00000029897.1	K16582
RPACG00000029905.1	K09048
RPACG00000029908.1	K00030
RPACG00000029910.1	K08654
RPACG00000029912.1	K24842
RPACG00000029914.1	K21870
RPACG00000029915.1	K21870
RPACG00000029918.1	K21870
RPACG00000029919.1	K21870
RPACG00000029920.1	K21870
RPACG00000029921.1	K21870
RPACG00000029922.1	K15382
RPACG00000029924.1	K04463
RPACG00000029926.3	K01530
RPACG00000029930.1	K26094
RPACG00000029931.1	K24225
RPACG00000029932.1	K01992
RPACG00000029934.1	K14780
RPACG00000029935.1	K10699
RPACG00000029936.1	K10429
RPACG00000029938.2	K13140
RPACG00000029939.1	K01893
RPACG00000029940.1	K02920
RPACG00000029942.2	K03245
RPACG00000029944.1	K24418
RPACG00000029945.1	K16589
RPACG00000029946.1	K07020
RPACG00000029948.1	K01596
RPACG00000029949.1	K20364
RPACG00000029950.1	K19525
RPACG00000029953.1	K09495
RPACG00000029954.1	K13250
RPACG00000029955.1	K24155
RPACG00000029956.1	K20477
RPACG00000029957.1	K17414
RPACG00000029973.1	K07300
RPACG00000029974.1	K06272
RPACG00000029975.1	K14850
RPACG00000029976.1	K02911
RPACG00000029977.1	K01915
RPACG00000029979.1	K04615
RPACG00000029990.1	K24764
RPACG00000029993.1	K01992
RPACG00000029994.1	K10884
RPACG00000029997.1	K01922
RPACG00000029998.1	K19680
RPACG00000029999.1	K03952
RPACG00000030000.1	K02890
RPACG00000030018.1	K09497
RPACG00000030029.1	K14616
RPACG00000030030.1	K14616
RPACG00000030036.1	K21954
RPACG00000030042.1	K15189
RPACG00000030043.1	K12200
RPACG00000030046.1	K17919
RPACG00000030055.1	K04565
RPACG00000030058.1	K00710
RPACG00000030059.1	K00710
RPACG00000030060.1	K00710
RPACG00000030064.1	K08738
RPACG00000030065.1	K08738
RPACG00000030066.1	K08738
RPACG00000030067.1	K08738
RPACG00000030068.1	K01823
RPACG00000030071.1	K08852
RPACG00000030072.1	K01847
RPACG00000030079.1	K08360
RPACG00000030097.1	K10374
RPACG00000030097.1	K22804
RPACG00000030097.1	K22719
RPACG00000030097.1	K22241
RPACG00000030097.1	K15481
RPACG00000030097.1	K10306
RPACG00000030097.1	K12065
RPACG00000030098.1	K12852
RPACG00000030099.1	K15451
RPACG00000030100.1	K00505
RPACG00000030102.1	K14388
RPACG00000030102.1	K01992
RPACG00000030109.1	K14388
RPACG00000030109.1	K03307
RPACG00000030110.1	K14388
RPACG00000030110.1	K03307
RPACG00000030117.1	K14388
RPACG00000030117.1	K03307
RPACG00000030119.1	K14388
RPACG00000030119.1	K03307
RPACG00000030130.1	K25081
RPACG00000030131.2	K25081
RPACG00000030133.1	K07001
RPACG00000030138.1	K10843
RPACG00000030140.1	K14358
RPACG00000030141.1	K01647
RPACG00000030143.1	K23879
RPACG00000030146.1	K17654
RPACG00000030151.1	K00699
RPACG00000030152.1	K14440
RPACG00000030174.1	K06813
RPACG00000030177.1	K05016
RPACG00000030178.2	K23792
RPACG00000030181.1	K13134
RPACG00000030182.1	K15149
RPACG00000030183.1	K25731
RPACG00000030193.1	K04988
RPACG00000030194.1	K00857
RPACG00000030195.1	K02992
RPACG00000030198.2	K12482
RPACG00000030213.1	K06813
RPACG00000030218.1	K00522
RPACG00000030219.1	K00522
RPACG00000030220.1	K00522
RPACG00000030228.1	K19371
RPACG00000030230.1	K11652
RPACG00000030232.1	K06867
RPACG00000030233.1	K01948
RPACG00000030233.1	K01956
RPACG00000030245.1	K23581
RPACG00000030261.1	K14617
RPACG00000030264.1	K13862
RPACG00000030268.1	K03754
RPACG00000030270.1	K01881
RPACG00000030271.1	K00654
RPACG00000030276.1	K04416
RPACG00000030284.1	K15789
RPACG00000030286.1	K17499
RPACG00000030287.1	K08875
RPACG00000030288.1	K16487
RPACG00000030294.1	K10586
RPACG00000030295.2	K12849
RPACG00000030297.1	K02603
RPACG00000030336.1	K20828
RPACG00000030336.1	K09191
RPACG00000030342.1	K23296
RPACG00000030346.1	K25830
RPACG00000030349.1	K00753
RPACG00000030351.1	K06867
RPACG00000030366.1	K00700
RPACG00000030369.1	K24185
RPACG00000030375.1	K03846
RPACG00000030375.1	K01992
RPACG00000030376.1	K13421
RPACG00000030376.1	K00762
RPACG00000030378.1	K15168
RPACG00000030390.1	K20276
RPACG00000030391.1	K04513
RPACG00000030392.1	K04513
RPACG00000030433.1	K01992
RPACG00000030441.1	K01992
RPACG00000030445.1	K01992
RPACG00000030447.1	K07466
RPACG00000030454.1	K07466
RPACG00000030455.1	K16684
RPACG00000030457.1	K04552
RPACG00000030465.1	K15271
RPACG00000030473.1	K11414
RPACG00000030473.1	K12410
RPACG00000030474.1	K05760
RPACG00000030482.1	K24272
RPACG00000030483.1	K24595
RPACG00000030491.1	K22765
RPACG00000030499.1	K10362
RPACG00000030501.1	K13152
RPACG00000030502.1	K22499
RPACG00000030503.1	K19361
RPACG00000030505.1	K16498
RPACG00000030507.1	K16498
RPACG00000030508.1	K12480
RPACG00000030509.1	K20804
RPACG00000030511.1	K15164
RPACG00000030520.1	K24387
RPACG00000030521.1	K00573
RPACG00000030522.1	K19681
RPACG00000030525.1	K00511
RPACG00000030526.1	K00876
RPACG00000030531.1	K24734
RPACG00000030533.1	K07090
RPACG00000030535.1	K07090
RPACG00000030538.1	K07432
RPACG00000030540.1	K06639
RPACG00000030543.1	K21286
RPACG00000030545.1	K15456
RPACG00000030550.1	K23438
RPACG00000030556.1	K23438
RPACG00000030562.1	K05701
RPACG00000030569.1	K15177
RPACG00000030571.1	K11536
RPACG00000030589.1	K25877
RPACG00000030591.1	K25877
RPACG00000030597.1	K01517
RPACG00000030599.1	K25877
RPACG00000030603.1	K24436
RPACG00000030604.1	K07232
RPACG00000030605.1	K07232
RPACG00000030606.2	K07232
RPACG00000030609.1	K05128
RPACG00000030616.1	K12863
RPACG00000030618.1	K09579
RPACG00000030620.1	K19330
RPACG00000030626.1	K24485
RPACG00000030633.1	K22721
RPACG00000030636.1	K01517
RPACG00000030638.1	K10846
RPACG00000030648.1	K00798
RPACG00000030649.1	K03495
RPACG00000030683.1	K22970
RPACG00000030686.1	K01992
RPACG00000030705.1	K24492
RPACG00000030708.1	K01874
RPACG00000030709.2	K16913
RPACG00000030722.1	K10609
RPACG00000030729.1	K02935
RPACG00000030731.1	K10104
RPACG00000030737.1	K10104
RPACG00000030753.1	K10104
RPACG00000030759.1	K10104
RPACG00000030774.1	K10104
RPACG00000030790.1	K10104
RPACG00000030796.1	K10104
RPACG00000030805.1	K09228
RPACG00000030805.1	K09191
RPACG00000030806.1	K09191
RPACG00000030816.1	K18269
RPACG00000030817.1	K15044
RPACG00000030840.1	K04437
RPACG00000030840.1	K01992
RPACG00000030841.1	K04437
RPACG00000030864.1	K02144
RPACG00000030866.1	K02917
RPACG00000030878.1	K08967
RPACG00000030879.1	K08967
RPACG00000030880.1	K23008
RPACG00000030888.1	K17493
RPACG00000030889.2	K20639
RPACG00000030890.1	K13126
RPACG00000030893.1	K00901
RPACG00000030895.1	K08496
RPACG00000030896.1	K12456
RPACG00000030914.1	K17426
RPACG00000030924.1	K01992
RPACG00000030972.1	K01992
RPACG00000030973.1	K14683
RPACG00000030974.1	K14683
RPACG00000030975.1	K14683
RPACG00000030991.1	K24205
RPACG00000030993.1	K24205
RPACG00000030995.1	K24205
RPACG00000030996.1	K14789
RPACG00000031001.1	K15170
RPACG00000031002.1	K24205
RPACG00000031003.1	K12871
RPACG00000031004.1	K18966
RPACG00000031004.1	K01580
RPACG00000031005.1	K23219
RPACG00000031007.1	K07407
RPACG00000031011.1	K13411
RPACG00000031015.1	K02894
RPACG00000031016.1	K24420
RPACG00000031019.1	K03347
RPACG00000031027.1	K09191
RPACG00000031029.1	K04988
RPACG00000031046.1	K02040
RPACG00000031052.1	K21449
RPACG00000031070.1	K08190
RPACG00000031087.1	K03456
RPACG00000031090.1	K01697
RPACG00000031091.1	K24023
RPACG00000031097.1	K19721
RPACG00000031108.1	K15712
RPACG00000031114.1	K02449
RPACG00000031160.1	K12373
RPACG00000031170.2	K09531
RPACG00000031242.1	K14956
RPACG00000031269.1	K17584
RPACG00000031270.1	K17584
RPACG00000031273.1	K21754
RPACG00000031305.1	K13177
RPACG00000031313.1	K24205
RPACG00000031313.1	K01992
RPACG00000031315.1	K01676
RPACG00000031349.1	K00306
RPACG00000031351.1	K00306
RPACG00000031352.1	K00306
RPACG00000031352.1	K14292
RPACG00000031353.1	K00306
RPACG00000031354.1	K17815
RPACG00000031356.1	K16756
RPACG00000031358.1	K16756
RPACG00000031359.1	K16308
RPACG00000031360.1	K16308
RPACG00000031370.1	K13099
RPACG00000031376.1	K23893
RPACG00000031380.1	K03434
RPACG00000031381.1	K24228
RPACG00000031383.1	K19384
RPACG00000031386.1	K06269
RPACG00000031391.1	K01623
RPACG00000031394.1	K04429
RPACG00000031395.1	K03327
RPACG00000031396.1	K15078
RPACG00000031397.1	K18082
RPACG00000031398.1	K04429
RPACG00000031400.1	K04468
RPACG00000031422.1	K24142
RPACG00000031423.1	K24061
RPACG00000031424.1	K15302
RPACG00000031425.1	K11971
RPACG00000031426.1	K11363
RPACG00000031427.1	K23820
RPACG00000031428.1	K23820
RPACG00000031429.1	K09191
RPACG00000031431.1	K01992
RPACG00000031440.1	K20631
RPACG00000031461.1	K18263
RPACG00000031461.1	K01992
RPACG00000031462.1	K24230
RPACG00000031465.1	K00008
RPACG00000031465.1	K05351
RPACG00000031472.1	K00698
RPACG00000031473.1	K17256
RPACG00000031476.1	K14709
RPACG00000031477.1	K24006
RPACG00000031485.1	K01992
RPACG00000031492.1	K04439
RPACG00000031502.3	K15516
RPACG00000031523.1	K07216
RPACG00000031524.1	K07216
RPACG00000031525.1	K07216
RPACG00000031526.1	K07216
RPACG00000031527.1	K07216
RPACG00000031528.1	K07216
RPACG00000031529.1	K07216
RPACG00000031530.1	K07216
RPACG00000031531.1	K07216
RPACG00000031532.1	K07216
RPACG00000031533.1	K07216
RPACG00000031535.1	K00746
RPACG00000031539.1	K21776
RPACG00000031543.1	K21776
RPACG00000031544.1	K12178
RPACG00000031550.1	K00856
RPACG00000031551.1	K23994
RPACG00000031553.1	K23994
RPACG00000031554.1	K15281
RPACG00000031556.1	K10281
RPACG00000031569.1	K11883
RPACG00000031574.1	K19530
RPACG00000031580.1	K19530
RPACG00000031585.1	K14455
RPACG00000031586.1	K15622
RPACG00000031592.1	K12831
RPACG00000031593.1	K03190
RPACG00000031596.2	K01116
RPACG00000031597.2	K18621
RPACG00000031600.2	K01951
RPACG00000031601.1	K17550
RPACG00000031606.2	K20880
RPACG00000031609.1	K23804
RPACG00000031612.2	K13728
RPACG00000031613.1	K06664
RPACG00000031615.1	K16469
RPACG00000031622.1	K01992
RPACG00000031635.1	K08202
RPACG00000031635.1	K01992
RPACG00000031636.2	K18405
RPACG00000031638.1	K01322
RPACG00000031642.1	K14837
RPACG00000031646.1	K10391
RPACG00000031650.1	K19372
RPACG00000031659.1	K15261
RPACG00000031662.1	K15261
RPACG00000031678.1	K01992
RPACG00000031690.1	K08076
RPACG00000031692.1	K18084
RPACG00000031694.1	K08332
RPACG00000031702.1	K24099
RPACG00000031708.1	K24224
RPACG00000031708.1	K01992
RPACG00000031711.1	K25794
RPACG00000031712.1	K02219
RPACG00000031713.1	K00236
RPACG00000031714.1	K22193
RPACG00000031718.1	K12373
RPACG00000031732.1	K09206
RPACG00000031739.1	K05609
RPACG00000031744.1	K12585
RPACG00000031749.1	K16498
RPACG00000031762.1	K08796
RPACG00000031767.1	K24734
RPACG00000031770.1	K05681
RPACG00000031770.1	K01992
RPACG00000031771.1	K14782
RPACG00000031772.1	K11315
RPACG00000031774.1	K09562
RPACG00000031775.1	K11421
RPACG00000031776.1	K01379
RPACG00000031784.1	K00718
RPACG00000031788.1	K01992
RPACG00000031798.1	K09361
RPACG00000031800.1	K09361
RPACG00000031804.1	K09549
RPACG00000031816.1	K07001
RPACG00000031842.1	K24889
RPACG00000031844.1	K22544
RPACG00000031846.1	K02040
RPACG00000031851.1	K05929
RPACG00000031853.1	K20294
RPACG00000031854.1	K11997
RPACG00000031855.1	K11796
RPACG00000031858.1	K10636
RPACG00000031859.1	K10734
RPACG00000031860.1	K10416
RPACG00000031862.1	K10185
RPACG00000031875.1	K01992
RPACG00000031879.1	K01992
RPACG00000031949.1	K16547
RPACG00000031950.1	K18134
RPACG00000031952.1	K23554
RPACG00000031960.1	K16815
RPACG00000031962.1	K14764
RPACG00000031963.1	K24205
RPACG00000031978.1	K12870
RPACG00000031979.1	K21644
RPACG00000031980.1	K11503
RPACG00000031981.1	K24523
RPACG00000031983.2	K18024
RPACG00000031984.1	K05850
RPACG00000031991.1	K03178
RPACG00000032014.1	K03259
RPACG00000032019.1	K10798
RPACG00000032022.1	K14684
RPACG00000032026.1	K21398
RPACG00000032026.1	K01992
RPACG00000032028.1	K21398
RPACG00000032028.1	K01992
RPACG00000032029.1	K21398
RPACG00000032029.1	K01992
RPACG00000032035.1	K08337
RPACG00000032039.1	K14966
RPACG00000032043.1	K17427
RPACG00000032048.1	K23002
RPACG00000032058.1	K10268
RPACG00000032058.1	K21768
RPACG00000032063.1	K16759
RPACG00000032064.1	K09585
RPACG00000032065.1	K08827
RPACG00000032072.1	K03142
RPACG00000032075.1	K24808
RPACG00000032076.1	K04682
RPACG00000032078.1	K10888
RPACG00000032081.1	K22857
RPACG00000032082.1	K07216
RPACG00000032086.1	K07216
RPACG00000032089.1	K12861
RPACG00000032092.1	K09405
RPACG00000032093.1	K23543
RPACG00000032094.1	K10317
RPACG00000032102.1	K02310
RPACG00000032104.1	K09191
RPACG00000032105.1	K12668
RPACG00000032107.1	K16812
RPACG00000032108.1	K22746
RPACG00000032109.1	K09228
RPACG00000032109.1	K09191
RPACG00000032114.1	K09191
RPACG00000032116.1	K01597
RPACG00000032117.1	K11438
RPACG00000032118.1	K13135
RPACG00000032119.1	K01596
RPACG00000032124.1	K15279
RPACG00000032124.1	K01992
RPACG00000032141.1	K01992
RPACG00000032155.1	K01992
RPACG00000032160.1	K23223
RPACG00000032163.1	K17570
RPACG00000032164.1	K17570
RPACG00000032166.1	K01992
RPACG00000032167.1	K24726
RPACG00000032168.1	K04554
RPACG00000032169.1	K08333
RPACG00000032170.1	K06158
RPACG00000032170.1	K01992
RPACG00000032172.1	K11323
RPACG00000032176.1	K24360
RPACG00000032177.1	K11600
RPACG00000032178.1	K13340
RPACG00000032179.1	K01469
RPACG00000032180.1	K26053
RPACG00000032181.1	K11514
RPACG00000032182.1	K24812
RPACG00000032186.1	K12180
RPACG00000032187.1	K00134
RPACG00000032188.1	K22128
RPACG00000032190.1	K21797
RPACG00000032193.1	K06816
RPACG00000032194.1	K06093
RPACG00000032195.1	K05543
RPACG00000032196.1	K08957
RPACG00000032197.1	K15623
RPACG00000032198.1	K18409
RPACG00000032198.1	K18405
RPACG00000032202.1	K23168
RPACG00000032203.1	K15259
RPACG00000032205.1	K18758
RPACG00000032208.1	K13145
RPACG00000032209.1	K17932
RPACG00000032216.1	K25743
RPACG00000032221.1	K16587
RPACG00000032227.1	K02873
RPACG00000032231.1	K02873
RPACG00000032232.1	K02873
RPACG00000032233.1	K01869
RPACG00000032234.2	K06971
RPACG00000032235.1	K06626
RPACG00000032236.1	K06129
RPACG00000032241.1	K12616
RPACG00000032242.1	K22806
RPACG00000032243.1	K10049
RPACG00000032248.1	K00413
RPACG00000032249.1	K12589
RPACG00000032250.1	K20029
RPACG00000032258.1	K01887
RPACG00000032259.1	K00682
RPACG00000032263.1	K24524
RPACG00000032266.1	K13348
RPACG00000032269.1	K23195
RPACG00000032269.1	K09191
RPACG00000032270.1	K08802
RPACG00000032271.1	K19327
RPACG00000032272.1	K11801
RPACG00000032278.1	K23093
RPACG00000032282.1	K25742
RPACG00000032287.1	K08489
RPACG00000032288.1	K11876
RPACG00000032290.1	K16587
RPACG00000032291.1	K10685
RPACG00000032292.1	K00272
RPACG00000032292.1	K00273
RPACG00000032303.1	K09191
RPACG00000032305.1	K18665
RPACG00000032307.1	K13299
RPACG00000032320.1	K01489
RPACG00000032321.1	K02738
RPACG00000032322.1	K07096
RPACG00000032346.1	K07096
RPACG00000032347.1	K12307
RPACG00000032351.1	K10137
RPACG00000032352.1	K00922
RPACG00000032354.1	K23800
RPACG00000032355.1	K17419
RPACG00000032356.1	K01810
RPACG00000032357.2	K23167
RPACG00000032357.2	K00344
RPACG00000032359.1	K18207
RPACG00000032365.1	K03979
RPACG00000032366.1	K20656
RPACG00000032370.1	K19952
RPACG00000032372.1	K03965
RPACG00000032373.1	K14396
RPACG00000032374.1	K11155
RPACG00000032375.1	K20372
RPACG00000032376.1	K10298
RPACG00000032379.2	K13148
RPACG00000032380.1	K07152
RPACG00000032406.1	K02516
RPACG00000032407.1	K00565
RPACG00000032408.1	K25662
RPACG00000032415.1	K25812
RPACG00000032417.1	K12607
RPACG00000032418.1	K12035
RPACG00000032431.1	K19673
RPACG00000032435.1	K10104
RPACG00000032437.1	K16578
RPACG00000032444.1	K07407
RPACG00000032450.1	K09191
RPACG00000032455.1	K22017
RPACG00000032467.1	K00020
RPACG00000032468.1	K21347
RPACG00000032469.1	K00006
RPACG00000032470.1	K10585
RPACG00000032471.1	K21548
RPACG00000032481.1	K11593
RPACG00000032482.1	K02885
RPACG00000032483.3	K00850
RPACG00000032484.1	K00234
RPACG00000032484.1	K00239
RPACG00000032493.1	K07114
RPACG00000032494.1	K19526
RPACG00000032495.1	K20773
RPACG00000032497.1	K01992
RPACG00000032533.1	K13156
RPACG00000032539.1	K10295
RPACG00000032548.1	K08076
RPACG00000032559.1	K15188
RPACG00000032560.1	K18401
RPACG00000032563.1	K07208
RPACG00000032566.1	K15378
RPACG00000032635.1	K22735
RPACG00000032636.1	K00476
RPACG00000032637.1	K00801
RPACG00000032638.1	K20179
RPACG00000032638.1	K14407
RPACG00000032651.1	K04794
RPACG00000032653.1	K00801
RPACG00000032656.1	K03130
RPACG00000032669.1	K01992
RPACG00000032670.1	K06059
RPACG00000032671.2	K08193
RPACG00000032672.1	K18402
RPACG00000032678.1	K15288
RPACG00000032687.1	K20276
RPACG00000032702.1	K11303
RPACG00000032703.1	K11997
RPACG00000032704.1	K10268
RPACG00000032708.1	K10800
RPACG00000032709.1	K09228
RPACG00000032709.1	K09191
RPACG00000032711.1	K09228
RPACG00000032711.1	K09191
RPACG00000032712.1	K16774
RPACG00000032714.1	K03283
RPACG00000032715.1	K03283
RPACG00000032716.1	K03283
RPACG00000032716.1	K00432
RPACG00000032724.2	K16578
RPACG00000032728.1	K09191
RPACG00000032736.1	K22017
RPACG00000032742.1	K22017
RPACG00000032760.1	K01992
RPACG00000032767.1	K08076
RPACG00000032778.1	K21991
RPACG00000032780.1	K21991
RPACG00000032782.1	K21991
RPACG00000032796.1	K09493
RPACG00000032807.1	K23405
RPACG00000032813.1	K08501
RPACG00000032824.1	K01874
RPACG00000032834.1	K17356
RPACG00000032837.1	K15119
RPACG00000032838.1	K23407
RPACG00000032841.1	K08997
RPACG00000032860.1	K11668
RPACG00000032862.1	K24744
RPACG00000032869.1	K06679
RPACG00000032886.1	K00939
RPACG00000032887.1	K17929
RPACG00000032888.1	K15076
RPACG00000032889.1	K16336
RPACG00000032891.1	K23437
RPACG00000032967.1	K17618
RPACG00000032968.1	K04533
RPACG00000032975.1	K04533
RPACG00000033003.1	K07189
RPACG00000033011.1	K10735
RPACG00000033012.1	K10799
RPACG00000033012.1	K06867
RPACG00000033014.1	K19022
RPACG00000033047.1	K08516
RPACG00000033050.1	K01834
RPACG00000033051.1	K15101
RPACG00000033056.1	K08155
RPACG00000033058.1	K17424
RPACG00000033063.1	K11725
RPACG00000033067.1	K14564
RPACG00000033095.1	K22868
RPACG00000033096.1	K20777
RPACG00000033098.1	K17405
RPACG00000033099.1	K23404
RPACG00000033102.1	K25471
RPACG00000033112.1	K09103
RPACG00000033113.1	K00710
RPACG00000033122.1	K22647
RPACG00000033142.1	K01992
RPACG00000033143.1	K02133
RPACG00000033143.1	K02112
RPACG00000033145.1	K06695
RPACG00000033154.1	K09069
RPACG00000033157.1	K07555
RPACG00000033159.1	K19475
RPACG00000033161.1	K11536
RPACG00000033164.1	K21766
RPACG00000033168.1	K10389
RPACG00000033169.2	K23880
RPACG00000033170.1	K02921
RPACG00000033171.1	K11978
RPACG00000033175.1	K22721
RPACG00000033178.1	K01409
RPACG00000033179.1	K01880
RPACG00000033180.1	K01880
RPACG00000033181.1	K23488
RPACG00000033182.1	K10605
RPACG00000033183.1	K14816
RPACG00000033184.1	K15208
RPACG00000033230.1	K17925
RPACG00000033234.1	K01953
RPACG00000033239.1	K09582
RPACG00000033247.1	K26084
RPACG00000033248.1	K25548
RPACG00000033251.1	K25548
RPACG00000033253.1	K08856
RPACG00000033254.1	K10424
RPACG00000033256.1	K22647
RPACG00000033261.1	K01992
RPACG00000033268.1	K12858
RPACG00000033271.1	K06062
RPACG00000033287.1	K04209
RPACG00000033293.1	K05955
RPACG00000033310.1	K24897
RPACG00000033312.2	K05691
RPACG00000033314.1	K19572
RPACG00000033332.3	K06271
RPACG00000033334.1	K24747
RPACG00000033342.1	K05759
RPACG00000033346.1	K01992
RPACG00000033347.1	K09068
RPACG00000033348.1	K25474
RPACG00000033349.1	K03364
RPACG00000033350.1	K25474
RPACG00000033351.1	K14823
RPACG00000033352.1	K20655
RPACG00000033361.1	K09173
RPACG00000033362.1	K14315
RPACG00000033363.1	K24067
RPACG00000033364.1	K09232
RPACG00000033365.1	K19369
RPACG00000033373.1	K26076
RPACG00000033381.1	K19603
RPACG00000033383.1	K20042
RPACG00000033384.1	K05931
RPACG00000033385.1	K03681
RPACG00000033386.1	K22063
RPACG00000033387.1	K18186
RPACG00000033388.1	K18186
RPACG00000033389.1	K01080
RPACG00000033392.2	K00586
RPACG00000033394.1	K16673
RPACG00000033396.1	K16673
RPACG00000033398.1	K00699
RPACG00000033400.1	K03246
RPACG00000033402.1	K13024
RPACG00000033406.1	K06975
RPACG00000033407.1	K12196
RPACG00000033408.1	K00569
RPACG00000033415.1	K09086
RPACG00000033422.1	K19528
RPACG00000033427.1	K09492
RPACG00000033430.1	K23287
RPACG00000033434.1	K18259
RPACG00000033435.1	K11984
RPACG00000033443.1	K03109
RPACG00000033444.1	K07583
RPACG00000033447.1	K13143
RPACG00000033448.1	K00222
RPACG00000033448.1	K01992
RPACG00000033453.1	K10158
RPACG00000033471.1	K10669
RPACG00000033473.1	K14383
RPACG00000033473.1	K03307
RPACG00000033476.1	K11187
RPACG00000033492.1	K19199
RPACG00000033493.2	K23326
RPACG00000033495.1	K00025
RPACG00000033496.1	K21775
RPACG00000033499.1	K00140
RPACG00000033500.1	K00140
RPACG00000033502.1	K00140
RPACG00000033503.1	K21775
RPACG00000033508.2	K10684
RPACG00000033509.1	K03104
RPACG00000033510.1	K17512
RPACG00000033514.1	K11584
RPACG00000033515.1	K00649
RPACG00000033516.1	K22382
RPACG00000033518.1	K20368
RPACG00000033519.1	K20364
RPACG00000033531.1	K02355
RPACG00000033533.1	K04460
RPACG00000033534.1	K06928
RPACG00000033542.1	K24691
RPACG00000033543.1	K19756
RPACG00000033544.1	K16686
RPACG00000033545.1	K25440
RPACG00000033548.1	K03844
RPACG00000033552.1	K09649
RPACG00000033553.1	K06100
RPACG00000033554.1	K14965
