#Host
FUN000001-T1	K11253
FUN003748-T1	K09183
FUN003750-T1	K09183
FUN003753-T1	K19636
FUN003757-T1	K18669
FUN003763-T1	K04919
FUN003769-T1	K04919
FUN003770-T1	K08190
FUN003796-T1	K12319
FUN003797-T1	K12319
FUN003805-T1	K17986
FUN003816-T1	K08048
FUN003817-T1	K07819
FUN003832-T1	K08076
FUN003842-T1	K20179
FUN003848-T1	K17353
FUN003856-T1	K04284
FUN003864-T1	K24048
FUN003869-T1	K14966
FUN003881-T1	K07891
FUN003912-T1	K04599
FUN003918-T1	K05313
FUN003934-T1	K17346
FUN003938-T1	K08957
FUN003939-T1	K08957
FUN003946-T1	K08601
FUN003957-T1	K09668
FUN003958-T1	K09668
FUN003960-T1	K09668
FUN003961-T1	K09668
FUN003963-T1	K21357
FUN003964-T1	K08269
FUN003965-T1	K08269
FUN003967-T1	K21357
FUN003968-T1	K21357
FUN003969-T1	K08269
FUN003974-T1	K19970
FUN003975-T1	K14556
FUN003977-T1	K04828
FUN003978-T1	K12470
FUN003979-T1	K12470
FUN003980-T1	K04988
FUN003995-T1	K10481
FUN004002-T1	K00758
FUN004003-T1	K00758
FUN004005-T1	K09228
FUN004006-T1	K00558
FUN004012-T1	K04615
FUN004023-T1	K14388
FUN004024-T1	K14386
FUN004025-T1	K14388
FUN004031-T1	K19360
FUN004034-T1	K19360
FUN004035-T1	K19360
FUN004040-T1	K19360
FUN004054-T1	K04977
FUN004055-T1	K04977
FUN004066-T1	K17095
FUN004073-T1	K07843
FUN004074-T1	K07843
FUN004080-T1	K06843
FUN004083-T1	K06843
FUN004087-T1	K10747
FUN004106-T1	K20283
FUN004111-T1	K05396
FUN004114-T1	K17353
FUN004116-T1	K17353
FUN004120-T1	K17353
FUN004122-T1	K17353
FUN004125-T1	K17353
FUN004127-T1	K10596
FUN004132-T1	K06532
FUN004135-T1	K13711
FUN004138-T1	K05093
FUN004139-T1	K04237
FUN004149-T1	K06228
FUN004151-T1	K06228
FUN004171-T1	K22872
FUN004172-T1	K00079
FUN004174-T1	K01131
FUN004176-T1	K22614
FUN004177-T1	K24469
FUN004178-T1	K22615
FUN004194-T1	K09382
FUN004196-T1	K22614
FUN004205-T1	K11162
FUN004207-T1	K12663
FUN004213-T1	K09668
FUN004234-T1	K04908
FUN004235-T1	K04908
FUN004245-T1	K14343
FUN004248-T1	K19894
FUN004250-T1	K16311
FUN004252-T1	K16311
FUN004255-T1	K23912
FUN004261-T1	K24610
FUN004266-T1	K06237
FUN004272-T1	K09866
FUN004273-T1	K09866
FUN004277-T1	K09866
FUN004278-T1	K09866
FUN004279-T1	K09228
FUN004286-T1	K16943
FUN004293-T1	K08752
FUN004295-T1	K08752
FUN004303-T1	K08190
FUN004310-T1	K08767
FUN004312-T1	K19360
FUN004314-T1	K20051
FUN004330-T1	K18267
FUN004338-T1	K12350
FUN004339-T1	K11997
FUN004341-T1	K11997
FUN004342-T1	K20879
FUN004343-T1	K12350
FUN004351-T1	K19875
FUN004384-T1	K20880
FUN004397-T1	K05692
FUN004399-T1	K05692
FUN004402-T1	K01081
FUN004413-T1	K23624
FUN004415-T1	K01179
FUN004417-T1	K17925
FUN004421-T1	K04351
FUN004422-T1	K04351
FUN004424-T1	K04351
FUN004425-T1	K10380
FUN004426-T1	K04351
FUN004427-T1	K17632
FUN004437-T1	K01045
FUN004444-T1	K05093
FUN004448-T1	K24436
FUN004449-T1	K24436
FUN004461-T1	K05694
FUN004465-T1	K05694
FUN004489-T1	K04975
FUN004490-T1	K04975
FUN004493-T1	K04975
FUN004496-T1	K04975
FUN004497-T1	K03211
FUN004499-T1	K09452
FUN004506-T1	K14688
FUN004507-T1	K14688
FUN004509-T1	K02599
FUN004512-T1	K12323
FUN004513-T1	K12323
FUN004514-T1	K15261
FUN004516-T1	K15261
FUN004517-T1	K15261
FUN004518-T1	K05349
FUN004523-T1	K08375
FUN004524-T1	K10955
FUN004525-T1	K08375
FUN004527-T1	K08375
FUN004544-T1	K12646
FUN004563-T1	K23435
FUN004566-T1	K05466
FUN004570-T1	K04824
FUN004572-T1	K12233
FUN004577-T1	K12076
FUN004578-T1	K12076
FUN004580-T1	K13912
FUN004583-T1	K18808
FUN004596-T1	K09228
FUN004603-T1	K23915
FUN004624-T1	K10465
FUN004643-T1	K19018
FUN004649-T1	K18932
FUN004656-T1	K04194
FUN004658-T1	K09228
FUN004665-T1	K04952
FUN004666-T1	K04952
FUN004672-T1	K00665
FUN004683-T1	K14427
FUN004684-T1	K10392
FUN004687-T1	K04437
FUN004693-T1	K01758
FUN004703-T1	K08679
FUN004710-T1	K23379
FUN004711-T1	K09586
FUN004712-T1	K08202
FUN004713-T1	K08202
FUN004719-T1	K07435
FUN004724-T1	K05636
FUN004737-T1	K22614
FUN004739-T1	K22614
FUN004743-T1	K05312
FUN004763-T1	K05312
FUN004765-T1	K07435
FUN004766-T1	K07435
FUN004776-T1	K12196
FUN004782-T1	K13024
FUN004783-T1	K13024
FUN004794-T1	K15710
FUN004800-T1	K19584
FUN004806-T1	K09395
FUN004813-T1	K20091
FUN004818-T1	K18754
FUN004823-T1	K18754
FUN004826-T1	K18754
FUN004847-T1	K10408
FUN004853-T1	K00552
FUN004855-T1	K00552
FUN004856-T1	K00552
FUN004858-T1	K23014
FUN004859-T1	K01278
FUN004860-T1	K23014
FUN004866-T1	K05195
FUN004867-T1	K08428
FUN004869-T1	K05195
FUN004870-T1	K05195
FUN004874-T1	K04958
FUN004883-T1	K06269
FUN004884-T1	K06269
FUN004885-T1	K00567
FUN004886-T1	K11852
FUN004892-T1	K11125
FUN004907-T1	K06238
FUN004908-T1	K06238
FUN004909-T1	K06238
FUN004922-T1	K09228
FUN004936-T1	K14395
FUN004949-T1	K24469
FUN004956-T1	K09052
FUN004961-T1	K04224
FUN004964-T1	K10457
FUN004971-T1	K04287
FUN004972-T1	K14972
FUN004976-T1	K05665
FUN004978-T1	K05665
FUN004983-T1	K00758
FUN004985-T1	K00758
FUN004996-T1	K19636
FUN005005-T1	K13539
FUN005008-T1	K02861
FUN005017-T1	K04134
FUN005021-T1	K09228
FUN005022-T1	K09228
FUN005032-T1	K10380
FUN005035-T1	K11275
FUN005038-T1	K11275
FUN005048-T1	K04266
FUN005054-T1	K22045
FUN005056-T1	K22045
FUN005063-T1	K21915
FUN005066-T1	K20101
FUN005069-T1	K12402
FUN005072-T1	K09542
FUN005091-T1	K06721
FUN005092-T1	K16669
FUN005094-T1	K03362
FUN005095-T1	K13616
FUN005103-T1	K14349
FUN005109-T1	K15261
FUN005125-T1	K17598
FUN005127-T1	K10596
FUN005143-T1	K10104
FUN005152-T1	K07839
FUN005159-T1	K08840
FUN005162-T1	K11840
FUN005172-T1	K08835
FUN005173-T1	K11153
FUN005184-T1	K20404
FUN005190-T1	K10599
FUN005206-T1	K12353
FUN005214-T1	K14616
FUN005219-T1	K06583
FUN005220-T1	K22614
FUN005222-T1	K06583
FUN005223-T1	K06583
FUN005235-T1	K23325
FUN005248-T1	K16489
FUN005254-T1	K17659
FUN005257-T1	K17659
FUN005259-T1	K01362
FUN005266-T1	K00753
FUN005269-T1	K10442
FUN005280-T1	K23624
FUN005283-T1	K16729
FUN005304-T1	K12305
FUN005318-T1	K03254
FUN005326-T1	K04211
FUN005327-T1	K04211
FUN005332-T1	K21852
FUN005338-T1	K03165
FUN005339-T1	K23167
FUN005341-T1	K23167
FUN005347-T1	K23915
FUN005348-T1	K23915
FUN005350-T1	K13172
FUN005351-T1	K00022
FUN005361-T1	K16471
FUN005362-T1	K16471
FUN005365-T1	K12298
FUN005366-T1	K04701
FUN005375-T1	K06238
FUN005382-T1	K19721
FUN005383-T1	K06238
FUN005386-T1	K23619
FUN005388-T1	K16628
FUN005389-T1	K06238
FUN005392-T1	K19721
FUN005415-T1	K08585
FUN005423-T1	K17480
FUN005434-T1	K14616
FUN005435-T1	K17915
FUN005436-T1	K17915
FUN005437-T1	K17915
FUN005438-T1	K17915
FUN005442-T1	K24436
FUN005463-T1	K12322
FUN005465-T1	K03902
FUN005466-T1	K12322
FUN005467-T1	K06238
FUN005477-T1	K04218
FUN005487-T1	K08874
FUN005490-T1	K06839
FUN005491-T1	K04988
FUN005493-T1	K04988
FUN005494-T1	K06826
FUN005514-T1	K10250
FUN005521-T1	K04828
FUN005522-T1	K19041
FUN005523-T1	K04828
FUN005544-T1	K07375
FUN005561-T1	K04988
FUN005563-T1	K04988
FUN005565-T1	K06776
FUN005571-T1	K24502
FUN005577-T1	K04282
FUN005581-T1	K06249
FUN005582-T1	K06249
FUN005583-T1	K06249
FUN005586-T1	K06820
FUN005587-T1	K06820
FUN005594-T1	K09188
FUN005601-T1	K05727
FUN005614-T1	K11131
FUN005615-T1	K11131
FUN005623-T1	K05016
FUN005625-T1	K23573
FUN005645-T1	K08799
FUN005654-T1	K24174
FUN005664-T1	K04599
FUN005672-T1	K13411
FUN005674-T1	K17233
FUN005675-T1	K14416
FUN005676-T1	K07819
FUN005677-T1	K07819
FUN005689-T1	K16481
FUN005697-T1	K04830
FUN005699-T1	K05052
FUN005700-T1	K01745
FUN005702-T1	K01468
FUN005711-T1	K08150
FUN005715-T1	K10772
FUN005728-T1	K05643
FUN005731-T1	K05643
FUN005734-T1	K05099
FUN005736-T1	K05099
FUN005738-T1	K05099
FUN005739-T1	K06820
FUN005742-T1	K05099
FUN005744-T1	K19636
FUN005745-T1	K05099
FUN005754-T1	K00967
FUN005758-T1	K02580
FUN005759-T1	K09668
FUN005767-T1	K20071
FUN005776-T1	K03174
FUN005781-T1	K08991
FUN005790-T1	K06238
FUN005792-T1	K06238
FUN005796-T1	K06054
FUN005802-T1	K06054
FUN005805-T1	K10380
FUN005816-T1	K14388
FUN005817-T1	K14386
FUN005818-T1	K14386
FUN005819-T1	K14386
FUN005820-T1	K14386
FUN005821-T1	K14386
FUN005824-T1	K14388
FUN005825-T1	K14386
FUN005826-T1	K14388
FUN005827-T1	K14388
FUN005829-T1	K14386
FUN005831-T1	K00753
FUN005833-T1	K00826
FUN005838-T1	K04397
FUN005841-T1	K04397
FUN005845-T1	K24468
FUN005846-T1	K14616
FUN005847-T1	K14616
FUN005848-T1	K14616
FUN005851-T1	K14616
FUN005871-T1	K09220
FUN005874-T1	K08857
FUN005876-T1	K08857
FUN005879-T1	K19360
FUN005880-T1	K19360
FUN005881-T1	K24015
FUN005884-T1	K24015
FUN005885-T1	K24015
FUN005895-T1	K07819
FUN005900-T1	K06100
FUN005901-T1	K09649
FUN005905-T1	K05312
FUN005912-T1	K10380
FUN005916-T1	K00753
FUN005923-T1	K00109
FUN005924-T1	K13025
FUN005928-T1	K00106
FUN005930-T1	K00106
FUN005931-T1	K00106
FUN005935-T1	K23210
FUN005937-T1	K13047
FUN005957-T1	K05726
FUN005960-T1	K08542
FUN005966-T1	K12884
FUN005968-T1	K12884
FUN005971-T1	K24524
FUN005976-T1	K24524
FUN006000-T1	K19599
FUN006020-T1	K08635
FUN006024-T1	K08592
FUN006036-T1	K17341
FUN006039-T1	K01313
FUN006042-T1	K01104
FUN006043-T1	K05693
FUN006044-T1	K05693
FUN006045-T1	K06776
FUN006046-T1	K05693
FUN006047-T1	K06776
FUN006049-T1	K06776
FUN006052-T1	K06776
FUN006057-T1	K06776
FUN006058-T1	K17256
FUN006059-T1	K24610
FUN006061-T1	K24610
FUN006081-T1	K08190
FUN006085-T1	K08190
FUN006092-T1	K05119
FUN006094-T1	K05119
FUN006096-T1	K05119
FUN006101-T1	K05868
FUN006107-T1	K05868
FUN006108-T1	K16687
FUN006109-T1	K16687
FUN006114-T1	K09206
FUN006116-T1	K11449
FUN006119-T1	K06756
FUN006124-T1	K23533
FUN006128-T1	K19013
FUN006130-T1	K19013
FUN006144-T1	K13912
FUN006153-T1	K08793
FUN006158-T1	K08104
FUN006161-T1	K08104
FUN006171-T1	K23507
FUN006197-T1	K20097
FUN006214-T1	K10955
FUN006216-T1	K19041
FUN006220-T1	K01769
FUN006221-T1	K01769
FUN006222-T1	K14165
FUN006233-T1	K14165
FUN006234-T1	K16060
FUN006237-T1	K16061
FUN006239-T1	K16060
FUN006250-T1	K00753
FUN006251-T1	K00753
FUN006258-T1	K22544
FUN006262-T1	K22544
FUN006278-T1	K09228
FUN006283-T1	K06052
FUN006284-T1	K14611
FUN006285-T1	K14611
FUN006289-T1	K14611
FUN006290-T1	K14611
FUN006291-T1	K14611
FUN006294-T1	K22017
FUN006295-T1	K04167
FUN006301-T1	K08733
FUN006302-T1	K06839
FUN006304-T1	K10160
FUN006306-T1	K01025
FUN006307-T1	K01025
FUN006311-T1	K14616
FUN006314-T1	K04615
FUN006315-T1	K04615
FUN006316-T1	K04615
FUN006317-T1	K04615
FUN006329-T1	K23843
FUN006338-T1	K06560
FUN006339-T1	K06560
FUN006350-T1	K05633
FUN006360-T1	K04437
FUN006363-T1	K05129
FUN006367-T1	K08824
FUN006369-T1	K08824
FUN006380-T1	K04434
FUN006385-T1	K06238
FUN006392-T1	K16060
FUN006395-T1	K08527
FUN006398-T1	K08362
FUN006408-T1	K15106
FUN006428-T1	K22390
FUN006433-T1	K01183
FUN006437-T1	K04194
FUN006442-T1	K04157
FUN006446-T1	K04217
FUN006448-T1	K07844
FUN006467-T1	K00995
FUN006472-T1	K11765
FUN006485-T1	K13596
FUN006487-T1	K13596
FUN006488-T1	K14716
FUN006489-T1	K04157
FUN006490-T1	K04157
FUN006494-T1	K04987
FUN006501-T1	K07950
FUN006504-T1	K06058
FUN006517-T1	K13539
FUN006532-T1	K21440
FUN006534-T1	K02178
FUN006537-T1	K14445
FUN006539-T1	K14445
FUN006546-T1	K16777
FUN006547-T1	K15261
FUN006548-T1	K16777
FUN006559-T1	K11997
FUN006562-T1	K05673
FUN006568-T1	K14314
FUN006574-T1	K23491
FUN006579-T1	K09228
FUN006594-T1	K04150
FUN006608-T1	K24469
FUN006613-T1	K04887
FUN006621-T1	K00901
FUN006622-T1	K07435
FUN006627-T1	K07435
FUN006643-T1	K04216
FUN006644-T1	K04409
FUN006646-T1	K08202
FUN006648-T1	K08202
FUN006655-T1	K05126
FUN006660-T1	K17582
FUN006681-T1	K03068
FUN006687-T1	K20051
FUN006691-T1	K03256
FUN006705-T1	K20317
FUN006706-T1	K20317
FUN006707-T1	K20317
FUN006712-T1	K07432
FUN006713-T1	K07432
FUN006719-T1	K07920
FUN006729-T1	K10758
FUN006736-T1	K14400
FUN006740-T1	K01132
FUN006741-T1	K01132
FUN006748-T1	K23624
FUN006756-T1	K05016
FUN006763-T1	K01362
FUN006767-T1	K03515
FUN006777-T1	K22037
FUN006778-T1	K22037
FUN006780-T1	K22037
FUN006795-T1	K04967
FUN006797-T1	K04967
FUN006801-T1	K04592
FUN006806-T1	K22544
FUN006807-T1	K22544
FUN006815-T1	K19599
FUN006817-T1	K03193
FUN006820-T1	K03193
FUN006830-T1	K04282
FUN006836-T1	K04380
FUN006837-T1	K04380
FUN006845-T1	K05052
FUN006847-T1	K19013
FUN006851-T1	K05665
FUN006854-T1	K24468
FUN006856-T1	K04707
FUN006859-T1	K04707
FUN006862-T1	K16770
FUN006863-T1	K16770
FUN006904-T1	K04218
FUN006915-T1	K14386
FUN006916-T1	K04194
FUN006917-T1	K04194
FUN006930-T1	K11161
FUN006931-T1	K06560
FUN006932-T1	K04830
FUN006935-T1	K04978
FUN006937-T1	K04978
FUN006941-T1	K13297
FUN006942-T1	K06776
FUN006946-T1	K01183
FUN006949-T1	K15889
FUN006962-T1	K04194
FUN006963-T1	K04194
FUN006964-T1	K04194
FUN006966-T1	K06756
FUN006973-T1	K07299
FUN006974-T1	K07299
FUN006982-T1	K08765
FUN006984-T1	K07435
FUN006985-T1	K08852
FUN006986-T1	K08852
FUN006987-T1	K08202
FUN006988-T1	K17341
FUN006990-T1	K04145
FUN007006-T1	K19415
FUN007008-T1	K04282
FUN007011-T1	K09057
FUN007020-T1	K24610
FUN007022-T1	K05857
FUN007025-T1	K07819
FUN007026-T1	K06776
FUN007027-T1	K06776
FUN007028-T1	K06776
FUN007043-T1	K09228
FUN007044-T1	K09228
FUN007045-T1	K14349
FUN007047-T1	K14349
FUN007049-T1	K14349
FUN007052-T1	K11810
FUN007053-T1	K06238
FUN007058-T1	K05323
FUN007060-T1	K05323
FUN007067-T1	K20091
FUN007070-T1	K20091
FUN007072-T1	K08202
FUN007073-T1	K08202
FUN007074-T1	K08202
FUN007079-T1	K11869
FUN007100-T1	K06238
FUN007101-T1	K06238
FUN007106-T1	K04674
FUN007107-T1	K04674
FUN007113-T1	K23712
FUN007116-T1	K23712
FUN007123-T1	K05700
FUN007143-T1	K07378
FUN007145-T1	K02599
FUN007150-T1	K19721
FUN007165-T1	K22600
FUN007167-T1	K22600
FUN007168-T1	K22600
FUN007169-T1	K01769
FUN007177-T1	K13780
FUN007187-T1	K02186
FUN007192-T1	K19636
FUN007193-T1	K05218
FUN007198-T1	K04599
FUN007202-T1	K06233
FUN007203-T1	K14445
FUN007211-T1	K12798
FUN007217-T1	K14353
FUN007219-T1	K21440
FUN007233-T1	K16507
FUN007234-T1	K00921
FUN007235-T1	K01769
FUN007256-T1	K04282
FUN007257-T1	K05762
FUN007261-T1	K10104
FUN007268-T1	K00799
FUN007274-T1	K04194
FUN007275-T1	K09183
FUN007283-T1	K08202
FUN007288-T1	K05038
FUN007293-T1	K06782
FUN007310-T1	K14787
FUN007329-T1	K04576
FUN007331-T1	K04987
FUN007332-T1	K04576
FUN007333-T1	K04576
FUN007334-T1	K04978
FUN007352-T1	K08202
FUN007353-T1	K07523
FUN007355-T1	K05164
FUN007359-T1	K08835
FUN007368-T1	K19467
FUN007373-T1	K06238
FUN007374-T1	K09365
FUN007377-T1	K16675
FUN007381-T1	K05022
FUN007384-T1	K01359
FUN007391-T1	K14408
FUN007396-T1	K05694
FUN007397-T1	K05694
FUN007398-T1	K05694
FUN007412-T1	K01908
FUN007422-T1	K20051
FUN007424-T1	K05724
FUN007430-T1	K00572
FUN007431-T1	K00572
FUN007433-T1	K00572
FUN007439-T1	K15335
FUN007456-T1	K01135
FUN007479-T1	K04611
FUN007481-T1	K04611
FUN007484-T1	K20111
FUN007485-T1	K05233
FUN007506-T1	K17493
FUN007507-T1	K17493
FUN007508-T1	K17493
FUN007512-T1	K16669
FUN007520-T1	K01365
FUN007521-T1	K01365
FUN007523-T1	K04286
FUN007527-T1	K12046
FUN007537-T1	K07832
FUN007542-T1	K19519
FUN007545-T1	K18808
FUN007547-T1	K06062
FUN007558-T1	K02599
FUN007579-T1	K14386
FUN007581-T1	K14388
FUN007582-T1	K14386
FUN007584-T1	K14386
FUN007586-T1	K00714
FUN007589-T1	K01183
FUN007596-T1	K10385
FUN007614-T1	K05099
FUN007617-T1	K02374
FUN007618-T1	K02374
FUN007623-T1	K09640
FUN007624-T1	K01362
FUN007630-T1	K22970
FUN007649-T1	K17683
FUN007661-T1	K14343
FUN007666-T1	K14724
FUN007669-T1	K05038
FUN007677-T1	K04230
FUN007683-T1	K02599
FUN007684-T1	K24626
FUN007685-T1	K23927
FUN007687-T1	K06233
FUN007689-T1	K04307
FUN007692-T1	K01373
FUN007693-T1	K01373
FUN007697-T1	K08860
FUN007707-T1	K05200
FUN007708-T1	K05313
FUN007712-T1	K15297
FUN007713-T1	K15297
FUN007714-T1	K15297
FUN007740-T1	K04988
FUN007746-T1	K00272
FUN007750-T1	K12818
FUN007751-T1	K12818
FUN007753-T1	K12818
FUN007763-T1	K08186
FUN007769-T1	K20644
FUN007770-T1	K20644
FUN007771-T1	K20644
FUN007779-T1	K24469
FUN007792-T1	K04462
FUN007797-T1	K10343
FUN007802-T1	K04978
FUN007804-T1	K11968
FUN007805-T1	K11968
FUN007809-T1	K19721
FUN007843-T1	K10104
FUN007872-T1	K07435
FUN007880-T1	K07997
FUN007885-T1	K05694
FUN007893-T1	K04824
FUN007894-T1	K04824
FUN007898-T1	K04824
FUN007901-T1	K04824
FUN007905-T1	K18488
FUN007911-T1	K20351
FUN007925-T1	K14616
FUN007929-T1	K04194
FUN007930-T1	K04194
FUN007931-T1	K04194
FUN007955-T1	K14386
FUN007969-T1	K23014
FUN007980-T1	K11485
FUN008008-T1	K04491
FUN008025-T1	K23047
FUN008026-T1	K01896
FUN008027-T1	K01896
FUN008030-T1	K01896
FUN008032-T1	K19948
FUN008039-T1	K10314
FUN008040-T1	K10314
FUN008045-T1	K14963
FUN008059-T1	K23913
FUN008066-T1	K11725
FUN008069-T1	K11725
FUN008072-T1	K22766
FUN008080-T1	K08462
FUN008081-T1	K08462
FUN008101-T1	K09429
FUN008104-T1	K20225
FUN008108-T1	K23605
FUN008110-T1	K23605
FUN008111-T1	K04977
FUN008112-T1	K08592
FUN008113-T1	K04977
FUN008119-T1	K00605
FUN008122-T1	K13199
FUN008144-T1	K00665
FUN008158-T1	K09634
FUN008159-T1	K16681
FUN008197-T1	K23435
FUN008210-T1	K04282
FUN008216-T1	K05665
FUN008217-T1	K05665
FUN008220-T1	K01011
FUN008225-T1	K04988
FUN008226-T1	K16621
FUN008229-T1	K05496
FUN008236-T1	K06813
FUN008256-T1	K20224
FUN008258-T1	K14349
FUN008261-T1	K08155
FUN008268-T1	K08585
FUN008274-T1	K20349
FUN008275-T1	K11994
FUN008278-T1	K01593
FUN008280-T1	K01593
FUN008287-T1	K03351
FUN008288-T1	K00011
FUN008289-T1	K09228
FUN008291-T1	K12489
FUN008296-T1	K06756
FUN008301-T1	K05030
FUN008314-T1	K05312
FUN008324-T1	K10634
FUN008325-T1	K10283
FUN008326-T1	K10283
FUN008327-T1	K10283
FUN008329-T1	K08574
FUN008330-T1	K18340
FUN008332-T1	K01514
FUN008333-T1	K18449
FUN008334-T1	K02183
FUN008345-T1	K04194
FUN008355-T1	K02599
FUN008370-T1	K04416
FUN008373-T1	K12323
FUN008375-T1	K12323
FUN008376-T1	K12324
FUN008378-T1	K12324
FUN008385-T1	K01908
FUN008389-T1	K01872
FUN008403-T1	K04950
FUN008405-T1	K06776
FUN008412-T1	K06252
FUN008414-T1	K10104
FUN008419-T1	K23533
FUN008433-T1	K12804
FUN008439-T1	K09489
FUN008443-T1	K23014
FUN008444-T1	K19721
FUN008447-T1	K06238
FUN008457-T1	K10380
FUN008468-T1	K24470
FUN008473-T1	K00939
FUN008476-T1	K04284
FUN008479-T1	K22815
FUN008481-T1	K04144
FUN008485-T1	K04230
FUN008486-T1	K04230
FUN008488-T1	K09511
FUN008491-T1	K02599
FUN008499-T1	K10461
FUN008500-T1	K10461
FUN008502-T1	K07937
FUN008504-T1	K04437
FUN008508-T1	K04149
FUN008509-T1	K04149
FUN008510-T1	K10475
FUN008512-T1	K04149
FUN008514-T1	K04149
FUN008521-T1	K10457
FUN008523-T1	K04149
FUN008527-T1	K10457
FUN008528-T1	K10465
FUN008539-T1	K10104
FUN008547-T1	K03193
FUN008554-T1	K05869
FUN008555-T1	K05869
FUN008556-T1	K17816
FUN008570-T1	K05236
FUN008572-T1	K06642
FUN008575-T1	K24496
FUN008577-T1	K19041
FUN008578-T1	K11980
FUN008583-T1	K04828
FUN008596-T1	K11840
FUN008599-T1	K13133
FUN008611-T1	K04599
FUN008613-T1	K04599
FUN008620-T1	K14411
FUN008622-T1	K10385
FUN008624-T1	K06240
FUN008625-T1	K06240
FUN008626-T1	K06240
FUN008628-T1	K19525
FUN008630-T1	K19525
FUN008638-T1	K04828
FUN008639-T1	K19041
FUN008642-T1	K06096
FUN008643-T1	K05194
FUN008644-T1	K05194
FUN008645-T1	K17256
FUN008647-T1	K24610
FUN008649-T1	K24610
FUN008660-T1	K02599
FUN008663-T1	K16506
FUN008673-T1	K13499
FUN008701-T1	K06087
FUN008706-T1	K14349
FUN008707-T1	K04223
FUN008715-T1	K18932
FUN008719-T1	K10461
FUN008736-T1	K02183
FUN008761-T1	K16669
FUN008765-T1	K02599
FUN008778-T1	K01301
FUN008781-T1	K07521
FUN008782-T1	K07521
FUN008796-T1	K04266
FUN008797-T1	K09188
FUN008799-T1	K24436
FUN008801-T1	K24436
FUN008802-T1	K24436
FUN008803-T1	K24436
FUN008804-T1	K18405
FUN008808-T1	K12172
FUN008814-T1	K06756
FUN008817-T1	K02183
FUN008837-T1	K22020
FUN008839-T1	K22020
FUN008858-T1	K12614
FUN008870-T1	K17604
FUN008872-T1	K00288
FUN008873-T1	K00288
FUN008874-T1	K08765
FUN008877-T1	K11153
FUN008882-T1	K17253
FUN008885-T1	K10104
FUN008888-T1	K10104
FUN008890-T1	K06756
FUN008914-T1	K15332
FUN008917-T1	K21878
FUN008921-T1	K11838
FUN008922-T1	K02183
FUN008925-T1	K02183
FUN008929-T1	K17087
FUN008935-T1	K17602
FUN008948-T1	K13676
FUN008949-T1	K00731
FUN008954-T1	K08727
FUN008958-T1	K14686
FUN008960-T1	K16669
FUN008961-T1	K16669
FUN008962-T1	K16669
FUN008969-T1	K08852
FUN008970-T1	K14616
FUN008978-T1	K15340
FUN008980-T1	K15340
FUN008985-T1	K04977
FUN008986-T1	K04977
FUN008987-T1	K04977
FUN008991-T1	K14349
FUN008993-T1	K04194
FUN008994-T1	K08852
FUN008998-T1	K11426
FUN009016-T1	K09228
FUN009019-T1	K05704
FUN009034-T1	K14003
FUN009038-T1	K20825
FUN009039-T1	K20825
FUN009041-T1	K20825
FUN009044-T1	K00753
FUN009054-T1	K22866
FUN009055-T1	K09228
FUN009076-T1	K15837
FUN009079-T1	K06491
FUN009081-T1	K06491
FUN009082-T1	K06491
FUN009089-T1	K09451
FUN009090-T1	K09451
FUN009099-T1	K01966
FUN009100-T1	K01966
FUN009103-T1	K01966
FUN009115-T1	K03902
FUN009117-T1	K14720
FUN009121-T1	K10380
FUN009128-T1	K05849
FUN009129-T1	K10955
FUN009133-T1	K05849
FUN009136-T1	K05849
FUN009139-T1	K17088
FUN009140-T1	K17088
FUN009141-T1	K08852
FUN009146-T1	K09350
FUN009147-T1	K09350
FUN009148-T1	K09350
FUN009158-T1	K14616
FUN009159-T1	K06776
FUN009160-T1	K01313
FUN009161-T1	K01313
FUN009165-T1	K04397
FUN009166-T1	K04364
FUN009168-T1	K04364
FUN009169-T1	K15112
FUN009170-T1	K15112
FUN009186-T1	K15043
FUN009194-T1	K13161
FUN009198-T1	K05658
FUN009203-T1	K16680
FUN009204-T1	K05016
FUN009208-T1	K05016
FUN009209-T1	K07378
FUN009213-T1	K05843
FUN009214-T1	K05843
FUN009216-T1	K05843
FUN009222-T1	K22754
FUN009224-T1	K14026
FUN009225-T1	K04216
FUN009228-T1	K00901
FUN009229-T1	K00901
FUN009234-T1	K05038
FUN009237-T1	K05038
FUN009245-T1	K10147
FUN009249-T1	K04194
FUN009252-T1	K05030
FUN009266-T1	K24468
FUN009269-T1	K10649
FUN009270-T1	K00109
FUN009277-T1	K23573
FUN009283-T1	K21424
FUN009284-T1	K21424
FUN009286-T1	K19599
FUN009287-T1	K19599
FUN009294-T1	K19599
FUN009299-T1	K04825
FUN009300-T1	K04824
FUN009306-T1	K01183
FUN009307-T1	K04233
FUN009308-T1	K04233
FUN009309-T1	K04233
FUN009311-T1	K04233
FUN009319-T1	K02599
FUN009330-T1	K06236
FUN009342-T1	K11798
FUN009347-T1	K07968
FUN009354-T1	K22666
FUN009368-T1	K01672
FUN009372-T1	K01672
FUN009373-T1	K01672
FUN009379-T1	K21440
FUN009382-T1	K01672
FUN009385-T1	K15507
FUN009386-T1	K15507
FUN009388-T1	K10421
FUN009389-T1	K10421
FUN009392-T1	K18592
FUN009406-T1	K24286
FUN009409-T1	K11536
FUN009410-T1	K11536
FUN009412-T1	K11536
FUN009413-T1	K11536
FUN009414-T1	K11536
FUN009415-T1	K22738
FUN009419-T1	K22738
FUN009420-T1	K22738
FUN009421-T1	K10749
